project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
1c-syntax/bsl-language-server,59,0,0,0,4,4,0,0,0,0,0,0
IntellectualSites/PlotSquared,237,17,0,,12,12,0,5,0,41,0,0
JabRef/jabref,12,0,0,0,4,4,1,1,0,0,0,0
JabRef/jabref,1042,0,0,0,35,35,0,64,0,0,0,0
MovingBlocks/Terasology,62,0,0,0,17,17,3,1,2,0,0,0
MovingBlocks/Terasology,64,7,0,0,7,7,1,0,0,0,0,0
MovingBlocks/Terasology,594,0,0,0,0,0,0,2,0,0,0,0
PhotonVision/photonvision,8,10,36,0,5,5,1,3,0,0,0,0
Railcraft/Railcraft,214,0,0,,0,0,0,0,0,0,0,0
TeamNewPipe/NewPipe,239,0,0,0,32,32,0,2,0,0,0,0
TeamNewPipe/NewPipe,286,0,0,0,145,145,0,11,0,0,0,0
aidenlab/Juicebox,18,0,0,0,6,6,1,30,0,0,0,0
aidenlab/Juicebox,193,0,0,0,83,83,6,180,0,0,0,0
apache/beam,695,0,0,0,56,56,89,5,0,0,0,0
apache/dolphinscheduler,75,0,0,0,0,18,0,1,0,0,0,0
apache/dolphinscheduler,131,1,1,0,8,8,0,0,0,0,0,0
apache/dolphinscheduler,235,0,0,,15,15,819,18,0,33,0,0
apache/shardingsphere,568,0,0,,0,0,5,2,0,0,0,0
bisq-network/bisq,152,48,18,18,49,80,18,18,18,18,18,0
bisq-network/bisq,163,0,0,0,2,2,0,0,0,0,0,0
bisq-network/bisq,476,0,0,,39,39,44,44,0,0,0,0
bisq-network/bisq,806,0,0,0,0,0,0,0,0,0,0,0
bisq-network/bisq,924,19,0,0,71,71,1,,0,0,0,0
bisq-network/bisq,1062,0,0,0,34,34,6,6,0,0,0,0
cBioPortal/cbioportal,322,0,0,2,24,24,4,1,0,0,0,0
cBioPortal/cbioportal,382,7,6,7,7,7,11,7,7,7,7,0
citrusframework/citrus,42,0,0,0,12,12,0,8,0,0,0,0
elastic/elasticsearch,264,0,0,,44,44,0,18,0,1,0,0
elastic/elasticsearch,297,0,0,171,9,9,0,98,0,0,0,0
elastic/elasticsearch,484,0,0,0,14,14,0,31,0,0,0,0
elastic/elasticsearch,661,25,5,5,24,24,5,24,5,5,5,0
elastic/elasticsearch,735,0,0,,3,3,0,38,0,0,0,0
elastic/elasticsearch,1205,1,0,0,0,0,0,1,0,0,0,0
elastic/elasticsearch,1303,0,0,0,7,7,0,8,0,0,0,0
elastic/elasticsearch,1430,100,94,,108,108,98,159,92,92,92,0
elastic/elasticsearch,1515,28,15,26,27,27,4,4,0,12,0,0
elastic/elasticsearch,4160,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,4410,5,4,5,5,5,5,6,5,9,4,0
hashgraph/hedera-services,589,0,0,0,2,2,0,4,0,0,0,0
hashgraph/hedera-services,845,0,0,,0,0,3,7,0,291,0,0
hashgraph/hedera-services,878,0,0,0,5,5,24,0,0,0,0,0
hazelcast/hazelcast,13,0,0,0,36,36,9,12,0,0,0,0
hazelcast/hazelcast,333,0,0,0,4,4,0,10,0,4,0,0
hazelcast/hazelcast,636,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,786,0,0,0,2,2,346,2,0,0,0,0
hazelcast/hazelcast,892,2,0,243,309,309,2,9,0,0,0,0
hazelcast/hazelcast,1637,0,0,0,2,2,0,2,0,0,0,0
hub4j/github-api,22,0,0,0,38,38,421,125,0,0,0,0
lf-lang/lingua-franca,247,0,0,0,6,8,0,0,0,0,0,0
liquibase/liquibase,304,0,0,0,285,285,70,124,0,0,0,0
liquibase/liquibase,428,0,0,,3,3,0,0,0,0,0,0
liquibase/liquibase,791,5,1,,13,13,10,40,2,1,1,0
liquibase/liquibase,806,0,0,0,4,4,1,5,0,0,0,0
liquibase/liquibase,1625,0,0,0,49,49,0,24,0,0,0,0
logisim-evolution/logisim-evolution,93,0,0,0,66,66,0,18,0,0,0,0
logisim-evolution/logisim-evolution,271,0,0,0,66,66,0,0,0,0,0,0
metasfresh/metasfresh,359,0,0,0,3,3,0,16,0,0,0,0
metasfresh/metasfresh,683,0,0,,0,0,1,2,0,0,0,0
metasfresh/metasfresh,1069,0,0,0,0,0,0,2,0,0,0,0
metasfresh/metasfresh,1398,0,0,0,0,0,2,0,0,0,0,0
metasfresh/metasfresh,1649,2,2,4,75,75,4,55,2,4,4,0
metasfresh/metasfresh,1883,0,0,0,22,22,2,7,0,0,0,0
metasfresh/metasfresh,2273,87,87,6,278,400,0,,201,158,40,0
metasfresh/metasfresh,2498,0,0,,5,5,7,1,0,0,0,0
metasfresh/metasfresh,2538,0,0,0,28,4,1,7,0,0,0,0
metasfresh/metasfresh,3430,0,0,0,1,1,3,1,0,0,0,0
metasfresh/metasfresh,4293,32,32,,45,43,28,32,20,20,2,0
metasfresh/metasfresh,4826,1,1,1,3,3,1,2,1,1,1,0
metasfresh/metasfresh,5250,0,0,0,8,8,2,5,0,0,0,0
metasfresh/metasfresh,5364,81,1,,65,92,32,0,0,6,3,0
opencast/opencast,43,0,0,0,40,40,121,13,0,0,0,0
opencast/opencast,80,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,130,0,0,0,40,40,121,0,0,0,0,0
opencast/opencast,402,0,0,,24,24,0,9,0,0,0,0
