project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,203,123,11,533,656,83,130,224,189,50,0
elastic/elasticsearch,11,159,118,207,241,241,112,387,102,119,101,0
bisq-network/bisq,6,67,18,18,195,226,69,68,18,18,18,0
vespa-engine/vespa,5,0,0,0,130,130,6,4869,0,0,0,0
opensearch-project/OpenSearch,6,82,66,1,169,169,130,220,60,62,68,0
opencast/opencast,9,0,0,0,288,288,595,123,0,35,0,0
quarkusio/quarkus,1,0,0,0,59,59,0,67,0,0,0,0
logisim-evolution/logisim-evolution,2,0,0,0,132,132,0,18,0,0,0,0
typetools/checker-framework,2,7,2,2,87,87,4,130,1,1,1,0
rstudio/rstudio,3,0,0,0,32,32,2,27,0,0,0,0
IntellectualSites/PlotSquared,1,17,0,,12,12,0,5,0,41,0,0
1c-syntax/bsl-language-server,1,0,0,0,4,4,0,0,0,0,0,0
citrusframework/citrus,1,0,0,0,12,12,0,8,0,0,0,0
JabRef/jabref,2,0,0,0,39,39,1,65,0,0,0,0
MovingBlocks/Terasology,3,7,0,0,24,24,4,3,2,0,0,0
liquibase/liquibase,5,5,1,0,354,354,81,193,2,1,1,0
hazelcast/hazelcast,6,2,0,243,353,353,357,35,0,4,0,0
aidenlab/Juicebox,2,0,0,0,89,89,7,210,0,0,0,0
soot-oss/soot,1,2,2,2,8,8,176,,2,34,2,0
hashgraph/hedera-services,3,0,0,0,7,7,27,11,0,291,0,0
uyuni-project/uyuni,3,0,0,0,47,47,3,154,0,0,0,0
cBioPortal/cbioportal,2,7,6,9,31,31,15,8,7,7,7,0
apache/shardingsphere,1,0,0,,0,0,5,2,0,0,0,0
hub4j/github-api,1,0,0,0,38,38,421,125,0,0,0,0
apache/dolphinscheduler,3,1,1,0,23,41,819,19,0,33,0,0
apache/beam,1,0,0,0,56,56,89,5,0,0,0,0
Railcraft/Railcraft,1,0,0,,0,0,0,0,0,0,0,0
TeamNewPipe/NewPipe,2,0,0,0,177,177,0,13,0,0,0,0
PhotonVision/photonvision,1,10,36,0,5,5,1,3,0,0,0,0
lf-lang/lingua-franca,1,0,0,0,6,8,0,0,0,0,0,0
