project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,9,10,7,10,9,11,11,10,12,11,14
elastic/elasticsearch,11,6,8,6,10,10,9,10,10,9,11,11
bisq-network/bisq,6,4,6,5,5,5,6,5,6,6,6,6
vespa-engine/vespa,5,5,5,4,5,5,5,5,5,5,5,5
opensearch-project/OpenSearch,6,4,5,4,5,5,4,5,5,5,5,6
opencast/opencast,9,9,9,8,9,9,9,9,9,9,9,9
quarkusio/quarkus,1,1,1,1,1,1,1,1,1,1,1,1
logisim-evolution/logisim-evolution,2,2,2,2,2,2,2,2,2,2,2,2
typetools/checker-framework,2,1,1,1,1,1,1,2,2,2,2,2
rstudio/rstudio,3,3,3,2,2,2,3,3,3,3,3,3
IntellectualSites/PlotSquared,1,0,1,0,0,0,1,1,1,0,1,1
1c-syntax/bsl-language-server,1,1,1,1,1,1,1,1,1,1,1,1
citrusframework/citrus,1,1,1,1,1,1,1,1,1,1,1,1
JabRef/jabref,2,2,2,2,2,2,2,2,2,2,2,2
MovingBlocks/Terasology,3,1,2,3,3,3,3,3,3,3,3,3
liquibase/liquibase,5,4,5,3,5,5,4,5,5,5,5,5
hazelcast/hazelcast,6,5,6,5,5,5,5,6,6,6,6,6
aidenlab/Juicebox,2,1,2,2,2,2,1,1,1,2,2,2
soot-oss/soot,1,0,0,0,0,0,1,0,0,1,0,1
hashgraph/hedera-services,3,3,3,2,3,3,3,3,3,2,3,3
uyuni-project/uyuni,3,3,3,1,3,3,3,3,3,3,3,3
cBioPortal/cbioportal,2,1,1,0,1,1,1,1,1,1,1,2
apache/shardingsphere,1,1,1,0,1,1,1,1,1,1,1,1
hub4j/github-api,1,1,1,1,1,1,1,1,1,1,1,1
apache/dolphinscheduler,3,2,2,2,3,3,3,3,3,3,3,3
apache/beam,1,1,1,1,1,1,1,1,1,1,1,1
Railcraft/Railcraft,1,1,1,0,1,1,1,1,1,1,1,1
TeamNewPipe/NewPipe,2,2,2,2,2,2,2,2,2,2,2,2
PhotonVision/photonvision,1,0,0,1,1,1,1,1,1,1,1,1
lf-lang/lingua-franca,1,1,1,1,0,0,1,1,1,1,1,1
