project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
1c-syntax/bsl-language-server,59,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
IntellectualSites/PlotSquared,237,0.04871060171919771,0.0,,0.0345821325648415,0.0345821325648415,0.0,0.014367816091954023,0.0,0.13015873015873017,0.0,0.0
JabRef/jabref,12,0.0,0.0,0.0,0.011299435028248588,0.011299435028248588,0.002824858757062147,0.002824858757062147,0.0,0.0,0.0,0.0
JabRef/jabref,1042,0.0,0.0,0.0,0.011693952555963916,0.011693952555963916,0.0,0.021383227530905446,0.0,0.0,0.0,0.0
MovingBlocks/Terasology,62,0.0,0.0,0.0,0.009486607142857142,0.009486607142857142,0.0016741071428571428,0.0005580357142857143,0.0011160714285714285,0.0,0.0,0.0
MovingBlocks/Terasology,64,0.022082018927444796,0.0,0.0,0.0220125786163522,0.0220125786163522,0.0031446540880503146,0.0,0.0,0.0,0.0,0.0
MovingBlocks/Terasology,594,0.0,0.0,0.0,0.0,0.0,0.0,0.006734006734006734,0.0,0.0,0.0,0.0
PhotonVision/photonvision,8,0.09174311926605505,0.3870967741935484,0.0,0.043859649122807015,0.043859649122807015,0.008771929824561403,0.02631578947368421,0.0,0.0,0.0,0.0
Railcraft/Railcraft,214,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamNewPipe/NewPipe,239,0.0,0.0,0.0,0.0068846815834767644,0.0068846815834767644,0.0,0.0004302925989672978,0.0,0.0,0.0,0.0
TeamNewPipe/NewPipe,286,0.0,0.0,0.0,0.03496503496503497,0.03496503496503497,0.0,0.002652519893899204,0.0,0.0,0.0,0.0
aidenlab/Juicebox,18,0.0,0.0,0.0,0.00516795865633075,0.00516795865633075,0.0008613264427217916,0.025839793281653745,0.0,0.0,0.0,0.0
aidenlab/Juicebox,193,0.0,0.0,0.0,0.007201110532708659,0.007201110532708659,0.0005205622071837585,0.015625,0.0,0.0,0.0,0.0
apache/beam,695,0.0,0.0,0.0,0.13176470588235295,0.13176470588235295,0.16984732824427481,0.011337868480725623,0.0,0.0,0.0,0.0
apache/dolphinscheduler,75,0.0,0.0,0.0,0.0,0.007588532883642495,0.0,0.0007374631268436578,0.0,0.0,0.0,0.0
apache/dolphinscheduler,131,0.0007757951900698216,0.0007757951900698216,0.0,0.006201550387596899,0.006201550387596899,0.0,0.0,0.0,0.0,0.0,0.0
apache/dolphinscheduler,235,0.0,0.0,,0.017084282460136675,0.017084282460136675,0.6438679245283019,0.020713463751438434,0.0,0.0375,0.0,0.0
apache/shardingsphere,568,0.0,0.0,,0.0,0.0,0.015060240963855422,0.006024096385542169,0.0,0.0,0.0,0.0
bisq-network/bisq,152,0.06713286713286713,0.024161073825503355,0.024161073825503355,0.06843575418994413,0.10738255033557047,0.024161073825503355,0.024161073825503355,0.024161073825503355,0.024161073825503355,0.024161073825503355,0.0
bisq-network/bisq,163,0.0,0.0,0.0,0.004728132387706856,0.004728132387706856,0.0,0.0,0.0,0.0,0.0,0.0
bisq-network/bisq,476,0.0,0.0,,0.012991339107261825,0.012991339107261825,0.014656895403064623,0.014656895403064623,0.0,0.0,0.0,0.0
bisq-network/bisq,806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bisq-network/bisq,924,0.00697759823723834,0.0,0.0,0.025988286969253295,0.025988286969253295,0.00036603221083455345,,0.0,0.0,0.0,0.0
