project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,0.007343647915671077,0.0036760583321398515,0.0005303495907470627,0.016107695319366944,0.017200892250198413,0.0054311284455164505,0.007127890333137541,0.0038272118791878957,0.00368159965228687,0.0009976126435989317,0.0
elastic/elasticsearch,11,0.008381684745682799,0.005594758840057188,0.009976502205162113,0.009936930654068041,0.009936930654068041,0.004473148945075718,0.012365764026074857,0.0037773776716233834,0.0055783075135305464,0.003696641356428809,0.0
bisq-network/bisq,6,0.012351744228350912,0.004026845637583892,0.004832214765100671,0.02285419063462161,0.029345323325559333,0.00726542076402484,0.008645298474662898,0.004026845637583892,0.004026845637583892,0.004026845637583892,0.0
vespa-engine/vespa,5,0.0,0.0,0.0,0.01234061639951579,0.01234061639951579,0.0012811485769502703,7.708170020128026,0.0,0.0,0.0,0.0
opensearch-project/OpenSearch,6,0.0032398273247166514,0.002577319587628866,7.782101167315176e-05,0.009954472949204545,0.009954472949204545,0.004110767290181772,0.011332898954863242,0.002339728591483388,0.002394750094897684,0.002652312972930806,0.0
opencast/opencast,9,0.0,0.0,0.0,0.016981416961531735,0.016981416961531735,0.050599929641003356,0.004111032352766229,0.0,0.006930485020623351,0.0,0.0
quarkusio/quarkus,1,0.0,0.0,0.0,0.008151423045040067,0.008151423045040067,0.0,0.009292649098474342,0.0,0.0,0.0,0.0
logisim-evolution/logisim-evolution,2,0.0,0.0,0.0,0.023809750582491566,0.023809750582491566,0.0,0.002238249191743347,0.0,0.0,0.0,0.0
typetools/checker-framework,2,0.003937007874015748,0.0011198208286674132,0.0011198208286674132,0.012483721282534839,0.012483721282534839,0.0012735487302815561,0.027381986291878158,0.0005599104143337066,0.0005599104143337066,0.0005599104143337066,0.0
rstudio/rstudio,3,0.0,0.0,0.0,0.006548529382684358,0.006548529382684358,0.0015290519877675841,0.004007147714154688,0.0,0.0,0.0,0.0
IntellectualSites/PlotSquared,1,0.04871060171919771,0.0,,0.0345821325648415,0.0345821325648415,0.0,0.014367816091954023,0.0,0.13015873015873017,0.0,0.0
1c-syntax/bsl-language-server,1,0.0,0.0,0.0,0.011764705882352941,0.011764705882352941,0.0,0.0,0.0,0.0,0.0,0.0
citrusframework/citrus,1,0.0,0.0,0.0,0.02708803611738149,0.02708803611738149,0.0,0.01805869074492099,0.0,0.0,0.0,0.0
JabRef/jabref,2,0.0,0.0,0.0,0.011496693792106251,0.011496693792106251,0.0014124293785310734,0.012104043143983795,0.0,0.0,0.0,0.0
MovingBlocks/Terasology,3,0.007360672975814932,0.0,0.0,0.010499728586403113,0.010499728586403113,0.0016062537436358191,0.0024306808160974827,0.0003720238095238095,0.0,0.0,0.0
liquibase/liquibase,5,0.0004450378282153983,8.88494002665482e-05,0.0,0.012271046900315009,0.012271046900315009,0.002349021032756254,0.008824555630417516,0.00017777777777777779,8.88494002665482e-05,8.88494002665482e-05,0.0
hazelcast/hazelcast,6,0.00020080321285140563,0.0,0.024397590361445783,0.03455397458546752,0.03455397458546752,0.03577765630253401,0.003494632455673752,0.0,0.0003762227238525207,0.0,0.0
aidenlab/Juicebox,2,0.0,0.0,0.0,0.0061845345945197045,0.0061845345945197045,0.000690944324952775,0.02073239664082687,0.0,0.0,0.0,0.0
soot-oss/soot,1,0.005714285714285714,0.005714285714285714,0.005714285714285714,0.022857142857142857,0.022857142857142857,0.3902439024390244,,0.005714285714285714,0.09714285714285714,0.005714285714285714,0.0
hashgraph/hedera-services,3,0.0,0.0,0.0,0.0044135758421472715,0.0044135758421472715,0.015309547590588312,0.008138049958923387,0.0,0.409282700421941,0.0,0.0
uyuni-project/uyuni,3,0.0,0.0,0.0,0.001521265925196939,0.001521265925196939,7.614406457016675e-05,0.00923218643128108,0.0,0.0,0.0,0.0
cBioPortal/cbioportal,2,0.01206896551724138,0.010344827586206896,0.012309755307754262,0.014957052159840657,0.014957052159840657,0.019446865015145857,0.012189302460683015,0.01206896551724138,0.01206896551724138,0.01206896551724138,0.0
apache/shardingsphere,1,0.0,0.0,,0.0,0.0,0.015060240963855422,0.006024096385542169,0.0,0.0,0.0,0.0
hub4j/github-api,1,0.0,0.0,0.0,0.006351328764833695,0.006351328764833695,0.05610341151385927,0.02088205813564985,0.0,0.0,0.0,0.0
apache/dolphinscheduler,3,0.0002585983966899405,0.0002585983966899405,0.0,0.007761944282577858,0.010291455243792023,0.21462264150943397,0.007150308959427364,0.0,0.012499999999999999,0.0,0.0
apache/beam,1,0.0,0.0,0.0,0.13176470588235295,0.13176470588235295,0.16984732824427481,0.011337868480725623,0.0,0.0,0.0,0.0
Railcraft/Railcraft,1,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TeamNewPipe/NewPipe,2,0.0,0.0,0.0,0.020924858274255866,0.020924858274255866,0.0,0.001541406246433251,0.0,0.0,0.0,0.0
PhotonVision/photonvision,1,0.09174311926605505,0.3870967741935484,0.0,0.043859649122807015,0.043859649122807015,0.008771929824561403,0.02631578947368421,0.0,0.0,0.0,0.0
lf-lang/lingua-franca,1,0.0,0.0,0.0,0.011764705882352941,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0
