project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,0,0,4,0,0,0,1,0,0,0,0
elastic/elasticsearch,11,0,0,3,0,0,0,0,0,0,0,0
bisq-network/bisq,6,0,0,1,0,0,0,1,0,0,0,0
vespa-engine/vespa,5,0,0,1,0,0,0,0,0,0,0,0
opensearch-project/OpenSearch,6,0,0,1,0,0,0,0,0,0,0,0
opencast/opencast,9,0,0,1,0,0,0,0,0,0,0,0
quarkusio/quarkus,1,0,0,0,0,0,0,0,0,0,0,0
logisim-evolution/logisim-evolution,2,0,0,0,0,0,0,0,0,0,0,0
typetools/checker-framework,2,0,0,0,0,0,0,0,0,0,0,0
rstudio/rstudio,3,0,0,1,0,0,0,0,0,0,0,0
IntellectualSites/PlotSquared,1,0,0,1,0,0,0,0,0,0,0,0
1c-syntax/bsl-language-server,1,0,0,0,0,0,0,0,0,0,0,0
citrusframework/citrus,1,0,0,0,0,0,0,0,0,0,0,0
JabRef/jabref,2,0,0,0,0,0,0,0,0,0,0,0
MovingBlocks/Terasology,3,0,0,0,0,0,0,0,0,0,0,0
liquibase/liquibase,5,0,0,2,0,0,0,0,0,0,0,0
hazelcast/hazelcast,6,0,0,0,0,0,0,0,0,0,0,0
aidenlab/Juicebox,2,0,0,0,0,0,0,0,0,0,0,0
soot-oss/soot,1,0,0,0,0,0,0,1,0,0,0,0
hashgraph/hedera-services,3,0,0,1,0,0,0,0,0,0,0,0
uyuni-project/uyuni,3,0,0,2,0,0,0,0,0,0,0,0
cBioPortal/cbioportal,2,0,0,0,0,0,0,0,0,0,0,0
apache/shardingsphere,1,0,0,1,0,0,0,0,0,0,0,0
hub4j/github-api,1,0,0,0,0,0,0,0,0,0,0,0
apache/dolphinscheduler,3,0,0,1,0,0,0,0,0,0,0,0
apache/beam,1,0,0,0,0,0,0,0,0,0,0,0
Railcraft/Railcraft,1,0,0,1,0,0,0,0,0,0,0,0
TeamNewPipe/NewPipe,2,0,0,0,0,0,0,0,0,0,0,0
PhotonVision/photonvision,1,0,0,0,0,0,0,0,0,0,0,0
lf-lang/lingua-franca,1,0,0,0,0,0,0,0,0,0,0,0
