project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
1c-syntax/bsl-language-server,59,0,0,0,0,0,0,0,0,0,0,0
IntellectualSites/PlotSquared,237,1,0,,1,1,0,0,0,1,0,0
JabRef/jabref,12,0,0,0,0,0,0,0,0,0,0,0
JabRef/jabref,1042,0,0,0,0,0,0,0,0,0,0,0
MovingBlocks/Terasology,62,1,1,0,0,0,0,0,0,0,0,0
MovingBlocks/Terasology,64,1,0,0,0,0,0,0,0,0,0,0
MovingBlocks/Terasology,594,0,0,0,0,0,0,0,0,0,0,0
PhotonVision/photonvision,8,1,1,0,0,0,0,0,0,0,0,0
Railcraft/Railcraft,214,0,0,,0,0,0,0,0,0,0,0
TeamNewPipe/NewPipe,239,0,0,0,0,0,0,0,0,0,0,0
TeamNewPipe/NewPipe,286,0,0,0,0,0,0,0,0,0,0,0
aidenlab/Juicebox,18,1,0,0,0,0,1,1,1,0,0,0
aidenlab/Juicebox,193,0,0,0,0,0,0,0,0,0,0,0
apache/beam,695,0,0,0,0,0,0,0,0,0,0,0
apache/dolphinscheduler,75,0,0,0,0,0,0,0,0,0,0,0
apache/dolphinscheduler,131,1,1,0,0,0,0,0,0,0,0,0
apache/dolphinscheduler,235,0,0,,0,0,0,0,0,0,0,0
apache/shardingsphere,568,0,0,,0,0,0,0,0,0,0,0
bisq-network/bisq,152,3,0,0,3,3,0,0,0,0,0,0
bisq-network/bisq,163,0,0,0,0,0,0,0,0,0,0,0
bisq-network/bisq,476,0,0,,0,0,0,0,0,0,0,0
bisq-network/bisq,806,0,0,0,0,0,0,0,0,0,0,0
bisq-network/bisq,924,1,0,0,0,0,0,,0,0,0,0
bisq-network/bisq,1062,0,0,0,0,0,0,0,0,0,0,0
cBioPortal/cbioportal,322,0,0,1,0,0,0,0,0,0,0,0
cBioPortal/cbioportal,382,1,1,1,2,2,1,1,1,1,4,0
citrusframework/citrus,42,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,264,0,0,,0,0,0,0,0,0,0,0
elastic/elasticsearch,297,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,484,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,661,1,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,735,0,0,,0,0,0,0,0,0,0,0
elastic/elasticsearch,1205,1,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,1303,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,1430,5,1,,0,0,4,0,0,0,0,0
elastic/elasticsearch,1515,1,2,1,1,1,0,0,0,3,0,0
elastic/elasticsearch,4160,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,4410,2,2,2,0,0,2,1,2,1,0,0
hashgraph/hedera-services,589,0,0,0,0,0,0,0,0,0,0,0
hashgraph/hedera-services,845,0,0,,0,0,0,0,0,1,0,0
hashgraph/hedera-services,878,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,13,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,333,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,636,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,786,0,0,0,0,0,0,0,0,0,0,0
hazelcast/hazelcast,892,1,0,1,1,1,1,0,0,0,0,0
hazelcast/hazelcast,1637,0,0,0,0,0,0,0,0,0,0,0
hub4j/github-api,22,0,0,0,0,0,0,0,0,0,0,0
lf-lang/lingua-franca,247,0,0,0,1,1,0,0,0,0,0,0
liquibase/liquibase,304,0,0,0,0,0,0,0,0,0,0,0
liquibase/liquibase,428,0,0,,0,0,0,0,0,0,0,0
liquibase/liquibase,791,2,0,,0,0,1,0,0,0,0,0
liquibase/liquibase,806,0,0,0,0,0,0,0,0,0,0,0
liquibase/liquibase,1625,0,0,0,0,0,0,0,0,0,0,0
logisim-evolution/logisim-evolution,93,0,0,0,0,0,0,0,0,0,0,0
logisim-evolution/logisim-evolution,271,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,359,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,683,0,0,,0,0,0,0,0,0,0,0
metasfresh/metasfresh,1069,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,1398,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,1649,6,12,4,0,0,4,1,6,0,0,0
metasfresh/metasfresh,1883,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,2273,5,4,1,2,1,0,,4,1,37,0
metasfresh/metasfresh,2498,0,0,,0,0,0,0,0,0,0,0
metasfresh/metasfresh,2538,0,0,0,0,2,0,0,0,0,0,0
metasfresh/metasfresh,3430,0,0,0,0,0,0,0,0,0,0,0
metasfresh/metasfresh,4293,0,0,,2,1,0,0,0,0,4,0
metasfresh/metasfresh,4826,1,0,1,1,1,1,1,1,1,1,0
metasfresh/metasfresh,5250,2,1,0,0,0,0,0,1,0,0,0
metasfresh/metasfresh,5364,6,1,,4,4,2,0,0,0,0,0
opencast/opencast,43,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,80,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,130,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,402,0,0,,0,0,0,0,0,0,0,0
opencast/opencast,614,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,798,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,872,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,973,0,0,0,0,0,0,0,0,0,0,0
opencast/opencast,1016,0,0,0,0,0,0,0,0,0,0,0
opensearch-project/OpenSearch,623,0,0,0,0,0,0,0,0,0,0,0
opensearch-project/OpenSearch,694,0,0,0,0,0,0,0,0,0,0,0
opensearch-project/OpenSearch,1275,4,4,,8,7,4,2,3,3,3,0
opensearch-project/OpenSearch,2446,1,0,1,0,0,1,0,0,0,0,0
opensearch-project/OpenSearch,2587,0,0,0,0,0,0,0,0,0,0,0
opensearch-project/OpenSearch,3815,0,0,0,0,0,0,0,0,0,0,0
quarkusio/quarkus,462,0,0,0,0,0,0,0,0,0,0,0
rstudio/rstudio,25,0,0,0,2,1,0,0,0,0,0,0
rstudio/rstudio,107,0,0,0,0,0,0,0,0,0,0,0
rstudio/rstudio,555,0,0,,0,0,0,0,0,0,0,0
soot-oss/soot,239,1,1,1,1,1,0,,1,0,1,0
typetools/checker-framework,99,0,0,0,0,0,0,0,0,0,0,0
typetools/checker-framework,353,2,1,1,1,1,1,0,0,0,0,0
uyuni-project/uyuni,105,0,0,,0,0,0,0,0,0,0,0
uyuni-project/uyuni,154,0,0,,0,0,0,0,0,0,0,0
uyuni-project/uyuni,159,0,0,0,0,0,0,0,0,0,0,0
vespa-engine/vespa,143,0,0,,0,0,0,0,0,0,0,0
vespa-engine/vespa,306,0,0,0,0,0,0,0,0,0,0,0
vespa-engine/vespa,378,0,0,0,0,0,0,0,0,0,0,0
vespa-engine/vespa,448,0,0,0,0,0,0,0,0,0,0,0
vespa-engine/vespa,537,0,0,0,0,0,0,0,0,0,0,0
