project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,8,8,7,3,3,3,2,9,9,9,14
elastic/elasticsearch,11,6,7,4,2,2,7,1,8,6,8,11
bisq-network/bisq,6,4,5,4,1,1,2,2,5,5,5,6
vespa-engine/vespa,5,5,5,4,0,0,2,0,5,5,5,5
opensearch-project/OpenSearch,6,4,5,4,2,2,4,0,5,4,5,6
opencast/opencast,9,9,9,8,1,1,4,3,9,7,9,9
quarkusio/quarkus,1,1,1,1,0,0,1,0,1,1,1,1
logisim-evolution/logisim-evolution,2,2,2,2,0,0,2,1,2,2,2,2
typetools/checker-framework,2,1,1,1,0,0,0,0,1,1,1,2
rstudio/rstudio,3,3,3,2,0,0,2,1,3,3,3,3
IntellectualSites/PlotSquared,1,0,1,0,0,0,1,0,1,0,1,1
1c-syntax/bsl-language-server,1,1,1,1,0,0,1,1,1,1,1,1
citrusframework/citrus,1,1,1,1,0,0,1,0,1,1,1,1
JabRef/jabref,2,2,2,2,0,0,1,0,2,2,2,2
MovingBlocks/Terasology,3,1,2,3,1,1,1,1,2,3,3,3
liquibase/liquibase,5,4,4,3,0,0,2,1,4,4,4,5
hazelcast/hazelcast,6,5,6,5,1,1,3,1,6,5,6,6
aidenlab/Juicebox,2,1,2,2,0,0,0,0,1,2,2,2
soot-oss/soot,1,0,0,0,0,0,0,0,0,0,0,1
hashgraph/hedera-services,3,3,3,2,1,1,1,1,3,2,3,3
uyuni-project/uyuni,3,3,3,1,1,1,2,1,3,3,3,3
cBioPortal/cbioportal,2,1,1,0,0,0,0,0,1,1,1,2
apache/shardingsphere,1,1,1,0,1,1,0,0,1,1,1,1
hub4j/github-api,1,1,1,1,0,0,0,0,1,1,1,1
apache/dolphinscheduler,3,2,2,2,1,0,2,1,3,2,3,3
apache/beam,1,1,1,1,0,0,0,0,1,1,1,1
Railcraft/Railcraft,1,1,1,0,1,1,1,1,1,1,1,1
TeamNewPipe/NewPipe,2,2,2,2,0,0,2,0,2,2,2,2
PhotonVision/photonvision,1,0,0,1,0,0,0,0,1,1,1,1
lf-lang/lingua-franca,1,1,1,1,0,0,1,1,1,1,1,1
