project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
1c-syntax/bsl-language-server,59,1.0,1.0,1.0,0.9941520467836257,0.9941520467836257,1.0,1.0,1.0,1.0,1.0,1.0
IntellectualSites/PlotSquared,237,0.9747899159663865,1.0,,0.9815602836879432,0.9815602836879432,1.0,0.992867332382311,1.0,0.9235382308845578,1.0,1.0
JabRef/jabref,12,1.0,1.0,1.0,0.9830985915492958,0.9830985915492958,0.998589562764457,0.998589562764457,1.0,1.0,1.0,1.0
JabRef/jabref,1042,1.0,1.0,1.0,0.9866577718478986,0.9866577718478986,1.0,0.9882508687737879,1.0,1.0,1.0,1.0
MovingBlocks/Terasology,62,1.0,1.0,1.0,0.9944413563090606,0.9944413563090606,0.9991636465012546,0.999721059972106,0.9994422755158952,1.0,1.0,1.0
MovingBlocks/Terasology,64,0.9890795631825273,1.0,1.0,0.9875389408099688,0.9875389408099688,0.9984301412872841,1.0,1.0,1.0,1.0,1.0
MovingBlocks/Terasology,594,1.0,1.0,1.0,1.0,1.0,1.0,0.9966442953020134,1.0,1.0,1.0,1.0
PhotonVision/photonvision,8,0.9333333333333333,0.3853211009174312,1.0,0.9785407725321889,0.9785407725321889,0.9956331877729258,0.9736842105263158,1.0,1.0,1.0,1.0
Railcraft/Railcraft,214,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TeamNewPipe/NewPipe,239,1.0,1.0,1.0,0.9808889843246725,0.9808889843246725,1.0,0.99978489997849,1.0,1.0,1.0,1.0
TeamNewPipe/NewPipe,286,1.0,1.0,1.0,0.9635608308605341,0.9635608308605341,1.0,0.9978308026030369,1.0,1.0,1.0,1.0
aidenlab/Juicebox,18,1.0,1.0,1.0,0.9965606190885641,0.9965606190885641,0.9995695221696083,0.9868141216503615,1.0,1.0,1.0,1.0
aidenlab/Juicebox,193,1.0,1.0,1.0,0.9807043350350437,0.9807043350350437,0.9996530187369882,0.9907307609398577,1.0,1.0,1.0,1.0
apache/beam,695,1.0,1.0,1.0,0.9381898454746137,0.9381898454746137,0.9217238346525946,0.9943630214205186,1.0,1.0,1.0,1.0
apache/dolphinscheduler,75,1.0,1.0,1.0,1.0,0.996220075598488,1.0,0.9996314043494287,1.0,1.0,1.0,1.0
apache/dolphinscheduler,131,0.9996122528111672,0.9996122528111672,1.0,0.9876160990712074,0.9876160990712074,1.0,1.0,1.0,1.0,1.0,1.0
apache/dolphinscheduler,235,1.0,1.0,,0.9915302089215132,0.9915302089215132,0.7564674397859055,0.9845978322875071,1.0,0.8875,1.0,1.0
apache/shardingsphere,568,1.0,1.0,,1.0,1.0,0.992526158445441,0.996996996996997,1.0,1.0,1.0,1.0
bisq-network/bisq,152,0.9675236806495264,0.9880636604774535,0.9880636604774535,0.9662162162162162,0.9237668161434978,0.9880636604774535,0.9880636604774535,0.9880636604774535,0.9880636604774535,0.9880636604774535,1.0
