project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
metasfresh/metasfresh,14,0.995709647186982,0.9974964644442101,0.999735169921481,0.9777045726682876,0.9769256175558243,0.9964077378497992,0.995645586873708,0.9974101195760385,0.9974827408007135,0.9973962304997395,1.0
elastic/elasticsearch,11,0.9946261278981277,0.996926996134958,0.9937245152134833,0.9882904578861341,0.9882904578861341,0.9972756119125038,0.9933169384315539,0.9979071017040977,0.9964179147446474,0.9979876948697972,1.0
bisq-network/bisq,6,0.9939772264235301,0.9980106100795756,0.9976127320954907,0.9849121953606561,0.9778372953485364,0.9960672661736182,0.995317315931672,0.9980106100795756,0.9980106100795756,0.9980106100795756,1.0
vespa-engine/vespa,5,1.0,1.0,1.0,0.9932727203566617,0.9932727203566617,0.9993607438357354,0.8032216302804404,1.0,1.0,1.0,1.0
opensearch-project/OpenSearch,6,0.9983362595153803,0.998643095293479,0.9999610970628282,0.9885789069430566,0.9885789069430566,0.9979688823637975,0.9933727372916075,0.9987602665426933,0.998725280011233,0.9985672242874846,1.0
opencast/opencast,9,1.0,1.0,1.0,0.9397621481610839,0.9397621481610839,0.9787730525170378,0.9977662572008043,1.0,0.9871126690966591,1.0,1.0
quarkusio/quarkus,1,1.0,1.0,1.0,0.9765070616603514,0.9765070616603514,1.0,0.9938531666551558,1.0,1.0,1.0,1.0
logisim-evolution/logisim-evolution,2,1.0,1.0,1.0,0.9314603590448787,0.9314603590448787,1.0,0.9988833746898262,1.0,1.0,1.0,1.0
typetools/checker-framework,2,0.9974761637689288,0.9988801791713326,0.9988801791713326,0.9855406865333682,0.9855406865333682,0.9988033270348432,0.9838924043713089,0.9994400895856663,0.9994400895856663,0.9994400895856663,1.0
rstudio/rstudio,3,1.0,1.0,1.0,0.9951233781575135,0.9951233781575135,0.9992372234935164,0.9978750579559889,1.0,1.0,1.0,1.0
IntellectualSites/PlotSquared,1,0.9747899159663865,1.0,,0.9815602836879432,0.9815602836879432,1.0,0.992867332382311,1.0,0.9235382308845578,1.0,1.0
1c-syntax/bsl-language-server,1,1.0,1.0,1.0,0.9941520467836257,0.9941520467836257,1.0,1.0,1.0,1.0,1.0,1.0
citrusframework/citrus,1,1.0,1.0,1.0,0.9729119638826185,0.9729119638826185,1.0,0.9899216125419933,1.0,1.0,1.0,1.0
JabRef/jabref,2,1.0,1.0,1.0,0.9848781816985972,0.9848781816985972,0.9992947813822285,0.9934202157691224,1.0,1.0,1.0,1.0
MovingBlocks/Terasology,3,0.9963598543941757,1.0,1.0,0.9939934323730099,0.9939934323730099,0.9991979292628462,0.9987884517580398,0.9998140918386317,1.0,1.0,1.0
liquibase/liquibase,5,0.9997777283840854,0.9999555851654452,1.0,0.9132846389875292,0.9132846389875292,0.9988284043883501,0.988025313798191,0.9999111505997335,0.9999555851654452,0.9999555851654452,1.0
hazelcast/hazelcast,6,0.9997991967871486,1.0,0.9881152910349991,0.9657404377493196,0.9657404377493196,0.9836753328439262,0.9979891133672223,1.0,0.9988713318284425,1.0,1.0
aidenlab/Juicebox,2,1.0,1.0,1.0,0.9886324770618039,0.9886324770618039,0.9996112704532982,0.9887724412951095,1.0,1.0,1.0,1.0
soot-oss/soot,1,0.9971509971509972,0.9971509971509972,0.9971509971509972,0.9645390070921985,0.9645390070921985,0.8367346938775511,,0.9971509971509972,0.9536784741144414,0.9971509971509972,1.0
hashgraph/hedera-services,3,1.0,1.0,1.0,0.9904140898515312,0.9904140898515312,0.992469590268886,0.9940458511887084,1.0,0.873202614379085,1.0,1.0
uyuni-project/uyuni,3,1.0,1.0,1.0,0.9900497772908341,0.9900497772908341,0.9999619323156572,0.9951303185551745,1.0,1.0,1.0,1.0
cBioPortal/cbioportal,2,0.9931740614334471,0.9948805460750854,0.9930536955210735,0.9890914485612089,0.9890914485612089,0.9895899503797964,0.9930537244900055,0.9931740614334471,0.9931740614334471,0.9931740614334471,1.0
apache/shardingsphere,1,1.0,1.0,,1.0,1.0,0.992526158445441,0.996996996996997,1.0,1.0,1.0,1.0
hub4j/github-api,1,1.0,1.0,1.0,0.9966672221296451,0.9966672221296451,0.9727137209151597,0.9867352014591279,1.0,1.0,1.0,1.0
apache/dolphinscheduler,3,0.9998707509370557,0.9998707509370557,1.0,0.9930487693309069,0.9917887945304029,0.9188224799286352,0.9947430788789786,1.0,0.9625,1.0,1.0
apache/beam,1,1.0,1.0,1.0,0.9381898454746137,0.9381898454746137,0.9217238346525946,0.9943630214205186,1.0,1.0,1.0,1.0
Railcraft/Railcraft,1,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TeamNewPipe/NewPipe,2,1.0,1.0,1.0,0.9722249075926033,0.9722249075926033,1.0,0.9988078512907634,1.0,1.0,1.0,1.0
PhotonVision/photonvision,1,0.9333333333333333,0.3853211009174312,1.0,0.9785407725321889,0.9785407725321889,0.9956331877729258,0.9736842105263158,1.0,1.0,1.0,1.0
lf-lang/lingua-franca,1,1.0,1.0,1.0,0.9863013698630136,0.9921259842519685,1.0,1.0,1.0,1.0,1.0,1.0
