Engine,Parsed,Conflict-free,Repo-consistent,Failed,Time,mc
git-merge,99,75,74,0,0.3312418460845947,100
imediff,98,86,81,0,9.35980772972107,100
jfstmerge,79,68,65,21,255.66889309883118,100
jdime,98,86,16,0,793.3201746940613,100
automergeptm,97,85,15,0,849.1155641078949,100
intellimerge,49,88,46,0,160.67033767700195,100
spork,96,91,19,3,747.7372553348541,100
mergiraf,100,91,84,0,5.2615745067596436,100
mastery,99,92,77,0,282.5418612957001,100
d3j,100,94,86,0,181.67519402503967,100
repo,100,100,100,0,0.0,100
