engine,mc,cfmc,pcfmc,wpmc,fc,aed,sim,dist,time
git-merge,100,75,74,99,0,569,0.997076537186231,0.0049302680835806405,0.3312418460845947
imediff,100,86,81,98,0,373,0.9928045341914147,0.005695925541708488,9.35980772972107
jfstmerge,100,68,65,79,21,493,0.9980345248032921,0.0036534768682081062,255.66889309883118
jdime,100,86,16,98,0,3151,0.9756600845969491,0.015850130533822192,793.3201746940613
automergeptm,100,85,15,97,0,3325,0.9751469837803515,0.016509614494337917,849.1155641078949
intellimerge,100,88,46,49,0,3007,0.9900890988296918,0.022668190221624553,160.67033767700195
spork,100,91,19,96,3,6898,0.9846865722857978,0.40550905863322645,747.7372553348541
mergiraf,100,91,84,100,0,418,0.9990272238024701,0.0016630856396578765,5.2615745067596436
mastery,100,92,77,99,0,835,0.9915234356278826,0.0173441674113636,282.5418612957001
d3j,100,94,86,100,0,248,0.9990303610178293,0.0012612086817295875,181.67519402503967
repo,100,100,100,100,0,0,1.0,0.0,0.0
