project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
SeleniumHQ/selenium,17,23,23,0,8,8,23,23,0,23,23,0
apache/storm,11,7,1,1,1,1,1,1,1,1,1,0
apache/storm,12,0,0,0,53,352,302,147,0,0,0,0
apache/storm,20,25,25,25,41,41,103,53,25,25,25,0
apache/storm,25,116,50,87,124,158,87,84,116,116,112,0
apache/storm,66,34,0,0,51,51,0,2,34,0,0,0
apache/storm,73,26,30,26,13,,30,81,1,8,1,0
apache/storm,81,23,23,23,39,39,99,51,23,23,23,0
apache/storm,82,16,18,174,29,38,9,,9,23,10,0
apache/storm,104,0,0,0,4,4,0,,0,0,0,0
apache/storm,106,2,16,14,17,17,14,2,2,16,16,0
apereo/cas,31,1,0,0,0,0,1,0,0,0,0,0
apereo/cas,32,0,0,0,1,1,1,1,0,0,0,0
apereo/cas,64,52,0,7,38,38,7,9,0,0,0,0
apereo/cas,65,0,0,0,0,0,0,0,0,0,0,0
apereo/cas,72,0,0,,16,16,0,0,0,0,0,0
apereo/cas,99,5,2,5,6,6,5,5,2,2,2,0
apereo/cas,108,67,381,180,36,64,839,30,67,388,36,0
apereo/cas,122,0,4,,8,8,3,12,6,4,6,0
apereo/cas,133,1,0,1,1,1,1,0,0,0,0,0
apereo/cas,175,123,7,59,7,7,59,59,4,7,4,0
apereo/cas,237,19,0,19,0,0,21,23,0,19,0,0
apereo/cas,250,0,0,0,0,0,0,8,0,0,0,0
apereo/cas,261,79,79,79,79,79,79,0,79,79,79,0
baomidou/mybatis-plus,27,76,76,76,5,5,0,,76,201,107,0
dropwizard/dropwizard,0,2,2,119,,,0,2,0,0,0,0
elastic/elasticsearch,2,6,6,,16,16,4,7,0,136,0,0
elastic/elasticsearch,32,1,0,,8,8,0,1,0,0,0,0
elastic/elasticsearch,39,1,1,0,11,11,1,0,0,0,0,0
elastic/elasticsearch,55,1,0,0,0,0,0,1,0,0,0,0
elastic/elasticsearch,146,0,0,,15,15,0,8,0,13,0,0
elastic/elasticsearch,182,1,0,,0,0,1,20,0,0,0,0
elastic/elasticsearch,183,4,0,,6,6,4,1,0,0,0,0
elastic/elasticsearch,253,0,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,297,1,0,,3,3,1,1,1,0,0,0
elastic/elasticsearch,363,2,0,2,3,3,2,5,0,1,0,0
elastic/elasticsearch,374,19,19,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,385,2,4,2,0,0,3,1,0,0,0,0
elastic/elasticsearch,403,1,0,0,4,4,0,14,0,0,0,0
elastic/elasticsearch,411,52,10,52,93,93,52,14,52,52,52,0
elastic/elasticsearch,414,9,4,9,4,4,9,21,4,2,2,0
elastic/elasticsearch,469,19,56,1,1,1,32,42,20,29,41,0
elastic/elasticsearch,476,1,1,,0,0,1,24,0,0,0,0
elastic/elasticsearch,515,2,0,2,33,33,2,27,0,0,0,0
elastic/elasticsearch,544,0,0,0,4,4,0,0,0,0,0,0
elastic/elasticsearch,550,41,19,48,50,50,7,1,29,41,5,0
elastic/elasticsearch,566,1,0,1,33,33,1,16,0,0,0,0
elastic/elasticsearch,575,18,18,0,2,2,0,0,0,0,0,0
elastic/elasticsearch,593,28,38,0,27,114,0,28,0,11,11,0
elastic/elasticsearch,594,5,0,,7,7,5,2,0,0,0,0
elastic/elasticsearch,680,5,0,4551,97,5921,16,105,0,0,0,0
elastic/elasticsearch,713,3,47,3,5,5,3,3,3,4,3,0
google/ExoPlayer,14,15,1,15,43,43,16,11,11,11,1,0
google/ExoPlayer,58,0,0,0,30,30,0,46,0,0,3,0
google/ExoPlayer,76,5,2,,22,22,5,49,2,3,2,0
google/ExoPlayer,101,4,3,0,35,35,0,31,0,4,0,0
google/ExoPlayer,108,0,3,0,0,0,0,26,0,0,0,0
jenkinsci/jenkins,1,0,11,0,12,12,0,10,0,0,13,0
jenkinsci/jenkins,4,268,268,0,29,29,0,4,0,0,0,0
jenkinsci/jenkins,8,1,1,0,75,75,6,53,0,0,0,0
jenkinsci/jenkins,29,24,1,5,34,34,1,13,24,24,24,0
jenkinsci/jenkins,47,149,2,0,6,6,0,150,0,0,0,0
jenkinsci/jenkins,59,1,1,0,9,9,0,15,0,0,0,0
jenkinsci/jenkins,161,5,4,5,42,42,6,6,0,0,0,0
jenkinsci/jenkins,162,86,86,86,75,240,0,,86,218,86,0
jenkinsci/jenkins,208,0,0,0,0,0,0,0,46,0,0,0
jenkinsci/jenkins,222,18,1,18,4,4,18,17,1,37,1,0
jenkinsci/jenkins,226,93,93,17,33,98,15,,17,43,17,0
jenkinsci/jenkins,242,0,0,0,158,158,16,,0,0,0,0
junit-team/junit4,4,1,3,0,15,29,0,,0,0,0,0
junit-team/junit4,22,0,1,,122,161,96,2,0,50,13,0
junit-team/junit4,34,1,1,1,1,1,1,3,1,1,1,0
junit-team/junit4,40,64,11,28,15,15,0,0,199,13,0,0
naver/pinpoint,37,1,0,0,0,0,0,0,0,0,0,0
skylot/jadx,0,1447,1447,1447,1453,1453,1937,1484,1447,1447,1447,0
skylot/jadx,10,391,16,,397,397,12,53,391,384,512,0
spring-projects/spring-boot,11,0,2,1,3,3,15,3,1,1,10,0
spring-projects/spring-boot,77,3,3,3,3,8,40,4,3,3,3,0
spring-projects/spring-boot,82,3,0,,21,21,25,4,0,0,0,0
spring-projects/spring-boot,122,67,9,67,70,70,4,5,67,67,20,0
spring-projects/spring-boot,157,11,6,11,0,0,11,12,11,11,0,0
spring-projects/spring-boot,176,21,21,0,0,0,0,0,0,0,0,0
spring-projects/spring-boot,198,34,0,34,3,3,67,10,0,34,0,0
spring-projects/spring-boot,201,54,36,54,43,43,54,72,54,36,36,0
spring-projects/spring-boot,203,37,37,,4,4,26,8,4,37,4,0
spring-projects/spring-boot,235,15,0,15,2,14,52,2,0,0,0,0
spring-projects/spring-boot,238,2,1,2,24,24,3,1,1,1,1,0
spring-projects/spring-boot,303,45,45,,46,65,49,57,45,45,2,0
spring-projects/spring-boot,370,0,0,0,10,10,5,1,0,0,0,0
spring-projects/spring-boot,381,22,0,22,26,26,0,12,1,22,1,0
spring-projects/spring-boot,397,5,3,,28,28,1001,12,0,0,0,0
spring-projects/spring-boot,408,16,0,,2,2,30,9,0,0,0,0
spring-projects/spring-boot,419,0,12,0,10,10,8,,0,0,0,0
spring-projects/spring-boot,427,5,5,5,5,5,5,0,5,5,5,0
spring-projects/spring-boot,463,47,47,0,0,0,0,0,0,0,0,0
spring-projects/spring-boot,476,5,0,,4,4,5,1,0,0,0,0
spring-projects/spring-boot,558,18,18,0,0,0,1,1,0,0,0,0
xetorthio/jedis,90,279,11,7,2,2,2,0,43,0,0,0
xetorthio/jedis,108,5,1,5,5,125,5,,5,1,1,0
xetorthio/jedis,109,4,0,0,0,0,1,17,0,0,0,0
