project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/storm,10,1,2,3,2,4,3,4,3,3,3,10
jenkinsci/jenkins,12,0,4,5,6,7,8,8,9,8,7,12
spring-projects/spring-boot,21,0,9,3,11,12,7,15,12,13,15,21
google/ExoPlayer,5,0,4,1,2,2,2,4,2,1,3,5
elastic/elasticsearch,26,0,15,6,15,16,14,24,19,18,19,26
apereo/cas,13,0,9,2,6,6,5,10,10,8,10,13
junit-team/junit4,4,0,1,0,0,0,2,1,0,0,1,4
xetorthio/jedis,3,0,2,1,2,3,1,2,1,3,3,3
baomidou/mybatis-plus,1,0,0,0,1,1,1,0,0,1,0,1
skylot/jadx,2,0,0,0,0,0,2,1,0,0,0,2
SeleniumHQ/selenium,1,0,0,1,1,1,1,1,1,0,0,1
dropwizard/dropwizard,1,0,0,0,0,0,1,1,1,1,1,1
naver/pinpoint,1,0,1,1,1,1,1,1,1,1,1,1
