project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
SeleniumHQ/selenium,17,0.05032822757111598,0.05032822757111598,0.0,0.016666666666666666,0.016666666666666666,0.05032822757111598,0.04801670146137787,0.0,0.05032822757111598,0.05032822757111598,0.0
apache/storm,11,0.00586756077116513,0.000835421888053467,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0008347245409015025,0.0
apache/storm,12,0.0,0.0,0.0,0.01162280701754386,0.06426876027022092,0.07044553300676464,0.032279314888010543,0.0,0.0,0.0,0.0
apache/storm,20,0.013812154696132596,0.013812154696132596,0.013812154696132596,0.022651933701657457,0.022651933701657457,0.0591614014933946,0.029281767955801105,0.013812154696132596,0.013812154696132596,0.013812154696132596,0.0
apache/storm,25,0.31607629427792916,0.12406947890818859,0.22715404699738903,0.33787465940054495,0.3844282238442822,0.22715404699738903,0.23661971830985915,0.31607629427792916,0.31607629427792916,0.30517711171662126,0.0
apache/storm,66,0.009521142537104453,0.0,0.0,0.014350028137310074,0.014350028137310074,0.0,0.0005547850208044383,0.009521142537104453,0.0,0.0,0.0
apache/storm,73,0.023444544634806132,0.027051397655545536,0.023444544634806132,0.01147396293027361,,0.027051397655545536,0.0715547703180212,0.00088261253309797,0.00706090026478376,0.00088261253309797,0.0
apache/storm,81,0.012863534675615212,0.012863534675615212,0.012863534675615212,0.02181208053691275,0.02181208053691275,0.05752469494479954,0.028523489932885907,0.012863534675615212,0.012863534675615212,0.012863534675615212,0.0
apache/storm,82,0.033402922755741124,0.037578288100208766,0.3515151515151515,0.06079664570230608,0.07755102040816327,0.018518518518518517,,0.018518518518518517,0.04693877551020408,0.0205761316872428,0.0
apache/storm,104,0.0,0.0,0.0,0.06896551724137931,0.06896551724137931,0.0,,0.0,0.0,0.0,0.0
apache/storm,106,0.009900990099009901,0.0851063829787234,0.07368421052631578,0.09042553191489362,0.09042553191489362,0.07368421052631578,0.009900990099009901,0.009900990099009901,0.0851063829787234,0.0851063829787234,0.0
apereo/cas,31,0.002364066193853428,0.0,0.0,0.0,0.0,0.0023584905660377358,0.0,0.0,0.0,0.0,0.0
apereo/cas,32,0.0,0.0,0.0,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.004739336492890996,0.0,0.0,0.0,0.0
apereo/cas,64,0.09885931558935361,0.0,0.012455516014234875,0.08796296296296297,0.08796296296296297,0.012455516014234875,0.020833333333333332,0.0,0.0,0.0,0.0
apereo/cas,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apereo/cas,72,0.0,0.0,,0.18181818181818182,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0
apereo/cas,99,0.015105740181268883,0.006006006006006006,0.015105740181268883,0.018018018018018018,0.018018018018018018,0.015105740181268883,0.015015015015015015,0.006006006006006006,0.006006006006006006,0.006006006006006006,0.0
apereo/cas,108,0.06511175898931001,0.33687002652519893,0.14766201804757997,0.03383458646616541,0.06015037593984962,0.8963675213675214,0.02819548872180451,0.06511175898931001,0.358264081255771,0.03386641580432737,0.0
apereo/cas,122,0.0,0.0027472527472527475,,0.005494505494505495,0.005494505494505495,0.002054794520547945,0.008241758241758242,0.0041265474552957355,0.0027472527472527475,0.0041265474552957355,0.0
apereo/cas,133,0.004524886877828055,0.0,0.004524886877828055,0.004524886877828055,0.004524886877828055,0.004524886877828055,0.0,0.0,0.0,0.0,0.0
apereo/cas,175,0.1732394366197183,0.009859154929577466,0.08309859154929577,0.009859154929577466,0.009859154929577466,0.08309859154929577,0.08309859154929577,0.005633802816901409,0.009859154929577466,0.005633802816901409,0.0
apereo/cas,237,0.034926470588235295,0.0,0.034926470588235295,0.0,0.0,0.03860294117647059,0.042279411764705885,0.0,0.034926470588235295,0.0,0.0
apereo/cas,250,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.0,0.0
apereo/cas,261,0.09101382488479262,0.09101382488479262,0.09101382488479262,0.09101382488479262,0.09101382488479262,0.09101382488479262,0.0,0.09101382488479262,0.09101382488479262,0.09101382488479262,0.0
baomidou/mybatis-plus,27,0.3619047619047619,0.3619047619047619,0.3619047619047619,0.017482517482517484,0.017482517482517484,0.0,,0.3619047619047619,0.7027972027972028,0.43673469387755104,0.0
dropwizard/dropwizard,0,0.0012944983818770227,0.0012944983818770227,0.07692307692307693,,,0.0,0.001292824822236587,0.0,0.0,0.0,0.0
elastic/elasticsearch,2,0.004319654427645789,0.0033594624860022394,,0.011519078473722102,0.011519078473722102,0.002888086642599278,0.005039596832253419,0.0,0.10853950518754989,0.0,0.0
elastic/elasticsearch,32,0.0011890606420927466,0.0,,0.009512485136741973,0.009512485136741973,0.0,0.0011890606420927466,0.0,0.0,0.0,0.0
elastic/elasticsearch,39,0.00038491147036181676,0.00038491147036181676,0.0,0.004232397075798384,0.004232397075798384,0.00038476337052712584,0.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,55,0.0025188916876574307,0.0,0.0,0.0,0.0,0.0,0.0025188916876574307,0.0,0.0,0.0,0.0
elastic/elasticsearch,146,0.0,0.0,,0.01971090670170828,0.01971090670170828,0.0,0.010512483574244415,0.0,0.013874066168623266,0.0,0.0
elastic/elasticsearch,182,0.0014992503748125937,0.0,,0.0,0.0,0.0014992503748125937,0.029985007496251874,0.0,0.0,0.0,0.0
elastic/elasticsearch,183,0.013793103448275862,0.0,,0.020689655172413793,0.020689655172413793,0.013793103448275862,0.003401360544217687,0.0,0.0,0.0,0.0
elastic/elasticsearch,253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,297,0.00048590864917395527,0.0,,0.0014577259475218659,0.0014577259475218659,0.0004861448711716091,0.0004861448711716091,0.0004861448711716091,0.0,0.0,0.0
elastic/elasticsearch,363,0.0034602076124567475,0.0,0.0034602076124567475,0.005190311418685121,0.005190311418685121,0.0034602076124567475,0.00865051903114187,0.0,0.0017301038062283738,0.0,0.0
elastic/elasticsearch,374,0.04922279792746114,0.04922279792746114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,385,0.000721240533717995,0.00144248106743599,0.000721240533717995,0.0,0.0,0.0010818608005769925,0.00036036036036036037,0.0,0.0,0.0,0.0
elastic/elasticsearch,403,0.002702702702702703,0.0,0.0,0.01078167115902965,0.01078167115902965,0.0,0.03773584905660377,0.0,0.0,0.0,0.0
elastic/elasticsearch,411,0.058165548098434,0.011185682326621925,0.058165548098434,0.1040268456375839,0.1040268456375839,0.058165548098434,0.015659955257270694,0.058165548098434,0.058165548098434,0.058165548098434,0.0
elastic/elasticsearch,414,0.07377049180327869,0.03305785123966942,0.07377049180327869,0.03305785123966942,0.03305785123966942,0.07377049180327869,0.19811320754716982,0.03305785123966942,0.016260162601626018,0.016260162601626018,0.0
elastic/elasticsearch,469,0.30158730158730157,0.6153846153846154,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.5079365079365079,0.6666666666666666,0.31746031746031744,0.4603174603174603,0.6507936507936508,0.0
elastic/elasticsearch,476,0.00043687199650502403,0.00043687199650502403,,0.0,0.0,0.0004366812227074236,0.010480349344978166,0.0,0.0,0.0,0.0
elastic/elasticsearch,515,0.005025125628140704,0.0,0.005025125628140704,0.0829145728643216,0.0829145728643216,0.005025125628140704,0.07049608355091384,0.0,0.0,0.0,0.0
elastic/elasticsearch,544,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,550,0.21243523316062177,0.10160427807486631,0.24,0.25,0.25,0.035,0.005,0.14646464646464646,0.21243523316062177,0.025,0.0
elastic/elasticsearch,566,0.0024937655860349127,0.0,0.0024937655860349127,0.08229426433915212,0.08229426433915212,0.0024937655860349127,0.04030226700251889,0.0,0.0,0.0,0.0
elastic/elasticsearch,575,0.07468879668049792,0.07468879668049792,0.0,0.007722007722007722,0.007722007722007722,0.0,0.0,0.0,0.0,0.0,0.0
elastic/elasticsearch,593,0.055666003976143144,0.07707910750507099,0.0,0.05222437137330754,0.2179732313575526,0.0,0.055666003976143144,0.0,0.02111324376199616,0.02111324376199616,0.0
elastic/elasticsearch,594,0.006459948320413436,0.0,,0.00904392764857881,0.00904392764857881,0.006459948320413436,0.0025673940949935813,0.0,0.0,0.0,0.0
elastic/elasticsearch,680,0.001101079057476327,0.0,1.0022021581149527,0.02136093371504074,1.0304559693699966,0.0035359116022099448,0.023127753303964757,0.0,0.0,0.0,0.0
elastic/elasticsearch,713,0.01,0.18007662835249041,0.01,0.016666666666666666,0.016666666666666666,0.01,0.01,0.01,0.013201320132013201,0.01,0.0
google/ExoPlayer,14,0.017814726840855107,0.0011668611435239206,0.017814726840855107,0.0508274231678487,0.0508274231678487,0.019002375296912115,0.012835472578763127,0.013002364066193853,0.013002364066193853,0.0011668611435239206,0.0
google/ExoPlayer,58,0.0,0.0,0.0,0.010148849797023005,0.010148849797023005,0.0,0.015572105619498984,0.0,0.0,0.0010148849797023004,0.0
google/ExoPlayer,76,0.0029958058717795086,0.0011983223487118035,,0.013181545835829839,0.013181545835829839,0.0029940119760479044,0.029358897543439184,0.0011983223487118035,0.0017974835230677051,0.0011983223487118035,0.0
google/ExoPlayer,101,0.0013008130081300813,0.000975609756097561,0.0,0.011374715632109197,0.011374715632109197,0.0,0.010074748131296718,0.0,0.0012999675008124798,0.0,0.0
google/ExoPlayer,108,0.0,0.025423728813559324,0.0,0.0,0.0,0.0,0.2765957446808511,0.0,0.0,0.0,0.0
jenkinsci/jenkins,1,0.0,0.011351909184726523,0.0,0.012295081967213115,0.012295081967213115,0.0,0.010245901639344262,0.0,0.0,0.01331967213114754,0.0
jenkinsci/jenkins,4,0.08513341804320203,0.08513341804320203,0.0,0.008506893517160458,0.008506893517160458,0.0,0.00117096018735363,0.0,0.0,0.0,0.0
jenkinsci/jenkins,8,0.0001763979537837361,0.0001763979537837361,0.0,0.013227513227513227,0.013227513227513227,0.0010582010582010583,0.009347442680776015,0.0,0.0,0.0,0.0
