project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/storm,10,0.04248891444475037,0.030131665890246757,0.07033083675863118,0.06408078911237232,0.08280975784396902,0.05343745276836291,0.051193695133161715,0.03824099718783093,0.04826927669442897,0.04392526528283348,0.0
jenkinsci/jenkins,12,0.04437089312123288,0.03382042474353372,0.023353366100633946,0.029340514097241983,0.06521024510281874,0.006628829468166471,0.019496325471777952,0.029739167792786854,0.05549005737560725,0.02133714708742136,0.0
spring-projects/spring-boot,21,0.06897150925013434,0.042390959222519044,0.042423642349101544,0.036514471855653874,0.04021928559411908,0.09696316658720573,0.015301398307984078,0.024095142168989853,0.04851122914704905,0.00922241639717541,0.0
google/ExoPlayer,5,0.004422269144152939,0.005752904412378522,0.004453681710213777,0.017106506886562147,0.017106506886562147,0.004399277454592004,0.06888739371076982,0.002840137282981131,0.0032199630180148077,0.0006760136943876049,0.0
elastic/elasticsearch,26,0.033927995975815625,0.0441509032504461,0.07842841962500176,0.029356872621729445,0.07454317630016025,0.027939130666082584,0.04607534441694672,0.02175517338977842,0.03483217858594435,0.030051254048296422,0.0
apereo/cas,13,0.03731888460956617,0.034345866545602136,0.035344277103930496,0.03363580445730176,0.035660095955277464,0.08848628027929914,0.019618039543551704,0.013222456934792752,0.03867821464704886,0.010818968997486396,0.0
junit-team/junit4,4,0.04662982371899658,0.016544920191904972,0.03228415447866819,0.2852885843434425,0.3738346338993097,0.2154524089306698,0.03441938178780284,0.12990032111319239,0.12445043401921985,0.03526552868658132,0.0
xetorthio/jedis,3,0.21250076270431326,0.008612672371596875,0.006270461817532005,0.002427075486288146,0.017739953852147074,0.002720244644892661,0.007475813544415127,0.036573837903463205,0.00018355359765051397,0.00018355359765051397,0.0
baomidou/mybatis-plus,1,0.3619047619047619,0.3619047619047619,0.3619047619047619,0.017482517482517484,0.017482517482517484,0.0,,0.3619047619047619,0.7027972027972028,0.43673469387755104,0.0
skylot/jadx,2,361.88520055325034,361.7555210489993,723.5,363.38699102829537,363.38699102829537,968.5031168831168,371.0182884748102,361.88520055325034,361.88250517598345,361.9365889212828,0.0
SeleniumHQ/selenium,1,0.05032822757111598,0.05032822757111598,0.0,0.016666666666666666,0.016666666666666666,0.05032822757111598,0.04801670146137787,0.0,0.05032822757111598,0.05032822757111598,0.0
dropwizard/dropwizard,1,0.0012944983818770227,0.0012944983818770227,0.07692307692307693,,,0.0,0.001292824822236587,0.0,0.0,0.0,0.0
naver/pinpoint,1,0.00847457627118644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
