project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/storm,10,0,0,0,0,1,0,2,0,0,0,0
jenkinsci/jenkins,12,0,0,0,0,0,0,3,0,0,0,0
spring-projects/spring-boot,21,0,0,6,0,0,0,1,0,0,0,0
google/ExoPlayer,5,0,0,1,0,0,0,0,0,0,0,0
elastic/elasticsearch,26,0,0,8,0,0,0,0,0,0,0,0
apereo/cas,13,0,0,2,0,0,0,0,0,0,0,0
junit-team/junit4,4,0,0,1,0,0,0,1,0,0,0,0
xetorthio/jedis,3,0,0,0,0,0,0,1,0,0,0,0
baomidou/mybatis-plus,1,0,0,0,0,0,0,1,0,0,0,0
skylot/jadx,2,0,0,1,0,0,0,0,0,0,0,0
SeleniumHQ/selenium,1,0,0,0,0,0,0,0,0,0,0,0
dropwizard/dropwizard,1,0,0,0,1,1,0,0,0,0,0,0
naver/pinpoint,1,0,0,0,0,0,0,0,0,0,0,0
