project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
SeleniumHQ/selenium,17,1,1,0,0,0,0,0,0,1,6,0
apache/storm,11,3,2,0,0,0,0,0,0,0,0,0
apache/storm,12,1,1,1,1,1,1,1,1,1,1,0
apache/storm,20,9,19,9,23,15,9,25,13,25,25,0
apache/storm,25,2,0,3,2,2,3,0,2,2,4,0
apache/storm,66,1,1,0,6,0,0,0,1,0,1,0
apache/storm,73,1,1,1,1,,1,0,0,1,0,0
apache/storm,81,9,17,9,21,11,9,23,12,23,23,0
apache/storm,82,3,5,1,4,1,1,,1,1,1,0
apache/storm,104,0,0,0,0,0,0,,0,0,0,0
apache/storm,106,2,1,1,1,0,1,2,2,1,2,0
apereo/cas,31,1,0,0,0,0,0,0,0,0,0,0
apereo/cas,32,1,0,1,0,0,1,0,0,0,0,0
apereo/cas,64,1,0,1,0,0,1,0,0,0,0,0
apereo/cas,65,2,4,1,1,1,0,0,2,4,4,0
apereo/cas,72,1,0,,1,1,0,0,0,0,0,0
apereo/cas,99,2,0,1,0,0,1,0,0,0,0,0
apereo/cas,108,13,5,13,4,4,12,3,13,3,5,0
apereo/cas,122,3,0,,2,2,2,0,0,2,0,0
apereo/cas,133,1,0,1,1,1,0,0,0,0,0,0
apereo/cas,175,2,1,1,1,1,1,1,0,0,0,0
apereo/cas,237,1,0,1,0,0,1,1,0,1,0,0
apereo/cas,250,1,0,0,0,0,0,0,0,0,0,0
apereo/cas,261,8,12,8,12,12,8,0,8,12,12,0
baomidou/mybatis-plus,27,1,9,3,0,0,0,,4,0,127,0
dropwizard/dropwizard,0,1,1,1,,,0,0,0,0,0,0
elastic/elasticsearch,2,1,0,,1,1,1,0,0,0,0,0
elastic/elasticsearch,32,1,0,,0,0,0,0,0,0,0,0
elastic/elasticsearch,39,1,1,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,55,1,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,146,1,1,,0,0,1,0,1,1,1,0
elastic/elasticsearch,182,1,0,,0,0,1,0,0,0,0,0
elastic/elasticsearch,183,1,0,,1,1,1,0,0,0,0,0
elastic/elasticsearch,253,1,0,1,0,0,1,0,0,0,0,0
elastic/elasticsearch,297,1,0,,0,0,0,0,0,0,0,0
elastic/elasticsearch,363,2,0,2,0,0,2,0,0,1,0,0
elastic/elasticsearch,374,2,2,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,385,1,1,1,0,0,2,0,0,0,0,0
elastic/elasticsearch,403,1,0,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,411,1,1,1,1,0,1,0,1,1,1,0
elastic/elasticsearch,414,1,1,1,1,1,1,1,1,1,1,0
elastic/elasticsearch,469,2,0,1,1,1,0,0,2,1,3,0
elastic/elasticsearch,476,1,1,,0,0,0,0,0,0,0,0
elastic/elasticsearch,515,1,0,1,0,0,1,0,0,0,0,0
elastic/elasticsearch,544,1,2,1,1,1,0,0,1,1,4,0
elastic/elasticsearch,550,3,2,1,1,1,0,0,2,1,0,0
elastic/elasticsearch,566,1,0,1,0,0,1,0,0,0,0,0
elastic/elasticsearch,575,1,1,0,0,0,0,0,0,0,0,0
elastic/elasticsearch,593,1,1,0,3,1,0,1,0,1,1,0
elastic/elasticsearch,594,2,0,,1,1,2,0,0,0,0,0
elastic/elasticsearch,680,1,0,1,1,1,0,0,0,0,0,0
elastic/elasticsearch,713,1,0,1,1,1,0,0,1,0,1,0
google/ExoPlayer,14,2,0,2,1,1,2,0,1,1,0,0
google/ExoPlayer,58,1,0,1,1,1,1,0,1,1,12,0
google/ExoPlayer,76,1,0,,0,0,1,0,0,0,0,0
google/ExoPlayer,101,2,1,0,0,0,0,0,0,1,0,0
google/ExoPlayer,108,3,0,3,1,1,0,3,3,3,3,0
jenkinsci/jenkins,1,1,0,0,1,1,0,0,0,0,8,0
jenkinsci/jenkins,4,2,2,0,0,0,0,0,0,0,0,0
jenkinsci/jenkins,8,2,2,0,0,0,0,0,0,0,0,0
jenkinsci/jenkins,29,1,0,1,1,1,0,0,1,1,3,0
jenkinsci/jenkins,47,4,3,0,0,0,0,0,0,0,0,0
jenkinsci/jenkins,59,1,1,0,0,0,0,0,0,0,0,0
jenkinsci/jenkins,161,1,1,1,1,1,1,1,0,0,0,0
jenkinsci/jenkins,162,1,1,1,25,0,0,,1,0,1,0
jenkinsci/jenkins,208,1,1,1,1,1,0,0,0,1,1,0
jenkinsci/jenkins,222,2,0,1,0,0,1,0,0,1,0,0
jenkinsci/jenkins,226,6,6,3,3,1,2,,3,1,3,0
jenkinsci/jenkins,242,1,0,1,0,0,1,,0,0,0,0
junit-team/junit4,4,2,3,1,2,1,1,,2,1,8,0
junit-team/junit4,22,9,32,,3,2,0,5,7,2,59,0
junit-team/junit4,34,1,0,1,1,1,1,1,1,1,1,0
junit-team/junit4,40,3,3,1,1,1,0,0,1,1,0,0
naver/pinpoint,37,1,0,0,0,0,0,0,0,0,0,0
skylot/jadx,0,1,1,1,1,1,0,1,1,1,1,0
skylot/jadx,10,2,2,,2,2,0,0,2,2,2,0
spring-projects/spring-boot,11,2,0,1,1,1,1,0,1,1,1,0
spring-projects/spring-boot,77,1,1,1,1,1,1,0,1,1,1,0
spring-projects/spring-boot,82,1,0,,1,1,1,0,0,0,0,0
spring-projects/spring-boot,122,2,1,2,2,2,0,0,2,2,2,0
spring-projects/spring-boot,157,2,2,2,2,1,2,2,1,0,2,0
spring-projects/spring-boot,176,2,1,0,0,0,0,1,0,0,0,0
spring-projects/spring-boot,198,2,0,2,0,0,2,0,0,2,0,0
spring-projects/spring-boot,201,2,0,2,0,0,2,2,2,0,0,0
spring-projects/spring-boot,203,1,1,,0,0,0,0,0,1,0,0
spring-projects/spring-boot,235,2,0,2,2,2,2,0,0,0,0,0
spring-projects/spring-boot,238,1,0,1,1,1,0,0,0,0,0,0
spring-projects/spring-boot,303,1,5,,3,0,2,1,1,1,0,0
spring-projects/spring-boot,370,1,1,1,0,0,1,0,1,0,0,0
spring-projects/spring-boot,381,1,0,1,1,1,0,0,0,1,0,0
spring-projects/spring-boot,397,2,2,,0,0,3,1,0,0,0,0
spring-projects/spring-boot,408,1,0,,0,0,1,0,0,0,0,0
spring-projects/spring-boot,419,1,1,0,0,0,0,,0,0,4,0
spring-projects/spring-boot,427,1,1,1,1,1,1,0,1,1,1,0
spring-projects/spring-boot,463,1,1,0,0,0,0,0,0,0,0,0
spring-projects/spring-boot,476,1,0,,0,0,1,0,0,0,0,0
spring-projects/spring-boot,558,2,2,1,0,0,1,0,1,0,0,0
xetorthio/jedis,90,1,22,2,0,0,1,0,1,0,0,0
xetorthio/jedis,108,2,0,2,2,0,2,,2,0,0,0
xetorthio/jedis,109,1,0,0,0,0,0,0,0,0,0,0
