project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
SeleniumHQ/selenium,17,0.9754535752401281,0.9754535752401281,1.0,0.989648033126294,0.989648033126294,0.9754535752401281,0.9765545361875637,1.0,0.9754535752401281,0.9754535752401281,1.0
apache/storm,11,0.9970748015043878,0.9995824634655532,0.9995828118481435,0.9995828118481435,0.9995828118481435,0.9995828118481435,0.9995828118481435,0.9995828118481435,0.9995828118481435,0.9995828118481435,1.0
apache/storm,12,1.0,1.0,1.0,0.9933442444080742,0.9688660888024058,0.9644910382144065,0.9809234771298504,1.0,1.0,1.0,1.0
apache/storm,20,0.9861878453038674,0.9861878453038674,0.9861878453038674,0.9810074318744839,0.9810074318744839,0.9622960045019696,0.9758108851017042,0.9861878453038674,0.9861878453038674,0.9861878453038674,1.0
apache/storm,25,0.8554502369668247,0.8352941176470589,0.6866028708133971,0.8089622641509434,0.6659707724425887,0.6866028708133971,0.8942065491183879,0.8554502369668247,0.8554502369668247,0.8649289099526066,1.0
apache/storm,66,0.9952619843924192,1.0,1.0,0.9928761000139684,0.9928761000139684,1.0,0.9994452149791956,0.9952619843924192,1.0,1.0,1.0
apache/storm,73,0.9821587867975022,0.9126559714795008,0.9821587867975022,0.978891820580475,,0.9795008912655971,0.9605826906598115,0.999117387466902,0.9947183098591549,0.999117387466902,1.0
apache/storm,81,0.9871364653243848,0.9871364653243848,0.9871364653243848,0.9818891056004458,0.9818891056004458,0.9635535307517085,0.9766277128547579,0.9871364653243848,0.9871364653243848,0.9871364653243848,1.0
apache/storm,82,0.9835728952772074,0.9815573770491803,0.8357695614789338,0.7725409836065574,0.7606752730883813,0.9908256880733946,,0.9908256880733946,0.9628886659979939,0.9847094801223242,1.0
apache/storm,104,1.0,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,,1.0,1.0,1.0,1.0
apache/storm,106,0.9950738916256158,0.9591836734693877,0.9644670050761421,0.9567430025445293,0.9567430025445293,0.9644670050761421,0.9950738916256158,0.9950738916256158,0.9591836734693877,0.9591836734693877,1.0
apereo/cas,31,0.9988193624557261,1.0,1.0,1.0,1.0,0.9988221436984688,1.0,1.0,1.0,1.0,1.0
apereo/cas,32,1.0,1.0,1.0,0.995260663507109,0.995260663507109,0.9976359338061466,0.995260663507109,1.0,1.0,1.0,1.0
apereo/cas,64,0.9528985507246377,1.0,0.9938107869142352,0.9422222222222222,0.9422222222222222,0.9938107869142352,0.9896907216494846,1.0,1.0,1.0,1.0
apereo/cas,65,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
apereo/cas,72,1.0,1.0,,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0
apereo/cas,99,0.9879518072289156,0.993993993993994,0.9879518072289156,0.9880597014925373,0.9880597014925373,0.9879518072289156,0.9895366218236173,0.993993993993994,0.993993993993994,0.993993993993994,1.0
apereo/cas,108,0.9598867390278433,0.8558456299659478,0.9312452253628725,0.974025974025974,0.9624197983501375,0.6905201032829215,0.9762680316426244,0.9598867390278433,0.8480814408770556,0.974477958236659,1.0
