project,mc,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/storm,10,0.978191690719221,0.9661597913738933,0.9441905346642371,0.9432504431294287,0.9193641392090681,0.9511319840544759,0.9727816541646833,0.9808636311001552,0.9745148008769757,0.9780846573487616,1.0
jenkinsci/jenkins,12,0.9731391659785845,0.9775267325526389,0.9835086600689306,0.9730796628959213,0.9602247340705845,0.9961584580789448,0.9900804411321923,0.9812730812298924,0.9721103882815716,0.9850927200960489,1.0
spring-projects/spring-boot,21,0.9670301457604844,0.981073855544931,0.9777176590557798,0.9791496071720629,0.9774369856597428,0.9275175827009315,0.989826983567969,0.9888549906003674,0.9789202558962673,0.9941405784878741,1.0
google/ExoPlayer,5,0.9965798486164941,0.9909981140968868,0.9977928193054738,0.9467816336603171,0.9467816336603171,0.9976988615368373,0.9676662208987148,0.9985284675476235,0.9980614175034541,0.9971179387295566,1.0
elastic/elasticsearch,26,0.981026242270382,0.9809205626477882,0.9696342919017149,0.938577990604075,0.9260034320941296,0.9872696830684242,0.9612009402407218,0.9886875369500137,0.9814702176279416,0.9879090655155416,1.0
apereo/cas,13,0.9809296793444561,0.9846181780856178,0.9823691289223577,0.9815799267903735,0.9806871440460785,0.9660765139402747,0.9874913377644147,0.9926212405804302,0.9825590462413278,0.9937436420580313,1.0
junit-team/junit4,4,0.9741432450981522,0.9877800148498639,0.9764631459546714,0.8994189020850105,0.8812874433582983,0.8915765765765766,0.983402819138376,0.9438390724388739,0.9443206273773489,0.97975776606482,1.0
xetorthio/jedis,3,0.9183396754851058,0.9945931383644526,0.9965040365451179,0.998411298812984,0.9909471307191439,0.9982647786664638,0.993859649122807,0.9813737857597267,0.9999082484631617,0.9999082484631617,1.0
baomidou/mybatis-plus,1,0.8467741935483871,0.8467741935483871,0.8467741935483871,0.9825174825174825,0.9825174825174825,1.0,,0.8467741935483871,0.7399741267787839,0.805414551607445,1.0
skylot/jadx,2,0.4416586766318465,0.4986329925590332,0.0027567195037904893,0.4351112854201392,0.4351112854201392,0.4984464008285862,0.492191543648624,0.4416586766318465,0.44287744567511284,0.40789260967359897,1.0
SeleniumHQ/selenium,1,0.9754535752401281,0.9754535752401281,1.0,0.989648033126294,0.989648033126294,0.9754535752401281,0.9765545361875637,1.0,0.9754535752401281,0.9754535752401281,1.0
dropwizard/dropwizard,1,0.999353169469599,0.999353169469599,0.9554655870445344,,,1.0,0.9993540051679587,1.0,1.0,1.0,1.0
naver/pinpoint,1,0.9957805907172996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
