project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j
SeleniumHQ/selenium,17,0.0007624626159667969,0.024452686309814453,0.970597505569458,0.8798539638519287,1.0946338176727295,0.3848698139190674,0.8259763717651367,0.009310483932495117,0.35312604904174805,0.17844176292419434
apache/storm,11,0.0012698173522949219,0.14488720893859863,2.28537654876709,4.262298345565796,4.792938947677612,1.141021490097046,7.426007270812988,0.04974174499511719,2.264104127883911,1.544593334197998
apache/storm,12,0.001116037368774414,0.2163066864013672,6.666390657424927,19.893759727478027,23.153369426727295,2.464897871017456,14.109041690826416,0.39460253715515137,4.739259243011475,3.2511909008026123
apache/storm,20,0.004822969436645508,0.048833370208740234,1.279078722000122,5.665287494659424,6.43177342414856,0.8540260791778564,6.93059515953064,0.06906270980834961,2.0720481872558594,1.338979959487915
apache/storm,25,0.0046503543853759766,0.09247517585754395,3.231809377670288,3.1839895248413086,2.8264288902282715,1.3920531272888184,5.054457664489746,0.08823919296264648,2.524810791015625,0.5585618019104004
apache/storm,66,0.0017349720001220703,0.14374279975891113,5.8224146366119385,201.4961338043213,210.3909740447998,2.544419765472412,15.657190084457397,0.5120148658752441,4.1487555503845215,3.551503896713257
apache/storm,73,0.002730131149291992,0.06778717041015625,3.2001237869262695,5.212104320526123,,0.6987946033477783,7.310886859893799,0.0604703426361084,2.444206714630127,0.6315431594848633
apache/storm,81,0.0030281543731689453,0.18834495544433594,2.991594076156616,5.540168523788452,5.773747682571411,1.5647456645965576,7.509084939956665,0.2226409912109375,3.8380160331726074,2.372424602508545
apache/storm,82,0.0017871856689453125,0.0687704086303711,2.174607038497925,3.713106632232666,3.6645524501800537,2.5875179767608643,,0.0859518051147461,2.0909910202026367,0.7324252128601074
apache/storm,104,0.007380485534667969,0.4524087905883789,1.5984852313995361,3.3020925521850586,2.2836878299713135,2.6595444679260254,,0.015394210815429688,2.893507480621338,0.9207956790924072
apache/storm,106,0.0007557868957519531,0.05223989486694336,1.7656948566436768,1.9289827346801758,1.782484769821167,0.6852829456329346,4.527788162231445,0.03470301628112793,1.5057497024536133,0.28441882133483887
apereo/cas,31,0.002889394760131836,0.1375124454498291,2.8881585597991943,2.771898031234741,3.422724723815918,0.6745173931121826,5.438682317733765,0.025261402130126953,2.1459383964538574,0.4035801887512207
apereo/cas,32,0.0007109642028808594,0.08371281623840332,2.2651238441467285,2.134838581085205,3.1419363021850586,0.23655915260314941,5.800346851348877,0.021954774856567383,1.4897921085357666,0.1747448444366455
apereo/cas,64,0.004798173904418945,0.03843808174133301,2.985172986984253,2.1903884410858154,3.009899139404297,0.7510204315185547,5.437366724014282,0.023295879364013672,1.9861419200897217,0.4936659336090088
apereo/cas,65,0.002332448959350586,0.05261564254760742,2.0830397605895996,1.7744419574737549,1.9083001613616943,0.9799003601074219,3.5707015991210938,0.008989810943603516,1.3689169883728027,0.3209679126739502
apereo/cas,72,0.0013456344604492188,0.09453821182250977,,2.1848273277282715,2.193519353866577,1.2901952266693115,3.6932740211486816,0.030385255813598633,1.5269393920898438,0.2615354061126709
apereo/cas,99,0.003388643264770508,0.05924415588378906,2.1957671642303467,3.108402729034424,3.571770429611206,0.598442792892456,5.311517715454102,0.01733112335205078,2.455800771713257,0.29181480407714844
apereo/cas,108,0.0008633136749267578,0.07368111610412598,6.449275016784668,6.133505582809448,7.115998268127441,1.6488769054412842,9.059764623641968,0.09644770622253418,3.1461310386657715,1.0868802070617676
apereo/cas,122,0.0063703060150146484,0.11581802368164062,,4.518984794616699,4.836466073989868,2.6187212467193604,5.746034622192383,0.06090116500854492,2.6458423137664795,0.6592257022857666
apereo/cas,133,0.0030465126037597656,0.05145907402038574,0.8637559413909912,0.9700875282287598,0.869128942489624,0.6282980442047119,1.9485430717468262,0.00684356689453125,0.6939041614532471,0.13866114616394043
apereo/cas,175,0.0007655620574951172,0.05573105812072754,2.3333990573883057,4.400866985321045,4.891693115234375,0.9745702743530273,4.096635341644287,0.06000685691833496,2.1406919956207275,0.37539243698120117
apereo/cas,237,0.004224538803100586,0.028484821319580078,2.4616827964782715,5.185359954833984,4.6893017292022705,0.6560571193695068,5.352922439575195,0.03773999214172363,2.123777151107788,0.6833140850067139
apereo/cas,250,0.002864837646484375,0.023897171020507812,1.6668360233306885,1.7796053886413574,1.8835217952728271,0.5837230682373047,3.4459898471832275,0.005759716033935547,1.1789839267730713,0.20322108268737793
apereo/cas,261,0.001386404037475586,0.06572222709655762,2.748960256576538,5.57112979888916,4.581363916397095,1.4464473724365234,6.3307905197143555,0.1421205997467041,1.6003317832946777,0.7007906436920166
baomidou/mybatis-plus,27,0.01023411750793457,0.26747965812683105,5.466928482055664,3.4704339504241943,3.180964708328247,2.4828085899353027,,0.29357409477233887,3.8045895099639893,4.540963649749756
dropwizard/dropwizard,0,0.001798868179321289,0.08118677139282227,3.509199380874634,,,1.6595616340637207,8.026587963104248,0.08950209617614746,3.7788374423980713,1.1818206310272217
