Engine,Parsed,Conflict-free,Repo-consistent,Failed,Time,mc
git-merge,98,1,1,0,0.3324902057647705,100
imediff,88,47,30,0,8.047403335571289,100
jfstmerge,78,23,22,19,234.89684581756592,100
jdime,99,47,14,1,620.5973038673401,100
automergeptm,93,53,14,2,648.2865836620331,100
intellimerge,31,48,27,0,121.09016180038452,100
spork,87,72,16,9,545.9515023231506,100
mergiraf,100,59,47,0,7.870721817016602,100
mastery,98,57,45,0,227.43375277519226,100
d3j,100,63,48,0,91.55055093765259,100
repo,100,100,100,0,0.0,100
