engine,mc,cfmc,pcfmc,wpmc,fc,aed,sim,dist,time
git-merge,100,1,1,98,0,4192,0.9636115822258277,7.2881155105079,0.3324902057647705
imediff,100,47,30,88,0,3173,0.970071775831231,7.2723714345490285,8.047403335571289
jfstmerge,100,23,22,78,19,7414,0.961534829018531,8.981391461876308,234.89684581756592
jdime,100,47,14,99,1,3920,0.9495391383859001,7.383862034892673,620.5973038673401
automergeptm,100,53,14,93,2,10627,0.9410455131429172,7.481799405743421,648.2865836620331
intellimerge,100,48,27,31,0,5366,0.9569303834210144,19.424754147713173,121.09016180038452
spork,100,72,16,87,9,3139,0.9676338373721959,8.185632649915252,545.9515023231506
mergiraf,100,59,47,100,0,3019,0.974020317081988,7.267586337722106,7.870721817016602
mastery,100,57,45,98,0,3722,0.9662778823721926,7.286083506954809,227.43375277519226
d3j,100,63,48,100,0,2762,0.9758421326253537,7.263161819724666,91.55055093765259
repo,100,100,100,100,0,0,1.0,0.0,0.0
