project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
antlr/antlr4,8,0,0,,105,105,0,206,0,437,0,0
antlr/antlr4,11,1,0,0,9,9,0,2,0,0,0,0
antlr/antlr4,21,6,6,,86,100,7,282,6,6,6,0
antlr/antlr4,22,80,9,34,30,30,129,9,9,9,9,0
antlr/antlr4,30,0,0,0,4,4,0,22,0,0,0,0
antlr/antlr4,33,0,0,0,28,28,0,42,0,0,0,0
antlr/antlr4,37,0,0,0,0,0,0,4,0,0,0,0
antlr/antlr4,41,84,11,84,72,72,32,27,84,73,57,0
antlr/antlr4,54,4,4,,41,69,4,11,0,22,0,0
antlr/antlr4,55,0,0,0,49,49,0,8,0,0,0,0
antlr/antlr4,56,1,1,0,14,14,1,24,0,0,0,0
antlr/antlr4,57,0,0,0,23,23,1,9,0,0,0,0
antlr/antlr4,61,6,0,6,110,110,7,5,0,0,0,0
nasa/mct,1,0,0,0,11,11,2,8,0,0,0,0
nasa/mct,9,166,180,166,166,166,166,170,166,166,180,0
nasa/mct,11,0,0,0,0,0,0,16,0,0,0,0
nasa/mct,13,0,0,0,0,0,0,0,0,0,0,0
nasa/mct,15,149,149,81,,,81,54,81,16,16,0
nasa/mct,16,641,110,624,33,378,631,651,624,77,73,0
nasa/mct,23,10,10,,10,36,56,16,10,10,10,0
nasa/mct,26,0,0,0,5,5,0,5,0,0,0,0
nasa/mct,31,0,0,30,62,62,30,56,30,30,30,0
nasa/mct,32,7,7,5,10,10,5,21,5,5,5,0
nasa/mct,37,63,63,,4,4,0,24,0,0,0,0
rzwitserloot/lombok,8,0,0,,23,23,0,36,0,0,0,0
rzwitserloot/lombok,10,1175,1175,868,901,901,1684,919,868,868,868,0
rzwitserloot/lombok,11,12,1,12,87,1587,89,25,1,32,0,0
rzwitserloot/lombok,16,1,0,,20,20,1,26,0,0,0,0
rzwitserloot/lombok,22,0,0,0,25,25,2,55,0,0,0,0
rzwitserloot/lombok,25,0,0,0,99,99,100,56,0,2,0,0
rzwitserloot/lombok,37,2,0,15,123,123,88,39,0,2,0,0
rzwitserloot/lombok,41,0,0,0,21,21,0,8,0,0,0,0
rzwitserloot/lombok,45,0,0,0,20,20,2,5,0,0,0,0
rzwitserloot/lombok,47,0,0,,14,14,4,22,0,0,0,0
rzwitserloot/lombok,50,0,0,0,42,42,1,55,0,0,0,0
rzwitserloot/lombok,55,0,0,0,34,34,83,75,0,0,0,0
rzwitserloot/lombok,60,0,0,0,14,14,1,32,0,0,0,0
rzwitserloot/lombok,62,38,13,,18,52,38,,9,9,9,0
rzwitserloot/lombok,67,0,0,0,4,4,0,22,0,0,0,0
rzwitserloot/lombok,70,0,0,0,23,23,0,15,0,0,0,0
rzwitserloot/lombok,72,0,0,0,7,7,0,6,0,0,0,0
rzwitserloot/lombok,76,0,0,0,112,112,155,83,0,2,0,0
voldemort/voldemort,2,0,0,0,5,5,0,5,0,0,0,0
voldemort/voldemort,10,0,0,0,11,11,0,17,0,0,0,0
voldemort/voldemort,14,0,0,0,28,28,44,23,0,0,0,0
voldemort/voldemort,17,0,0,0,3,3,0,9,0,0,0,0
voldemort/voldemort,21,12,0,,68,68,6,182,0,7,14,0
voldemort/voldemort,31,47,48,,53,53,46,56,45,45,42,0
voldemort/voldemort,33,3,1,0,5,5,0,18,0,1,0,0
voldemort/voldemort,37,0,0,0,6,6,0,5,0,0,0,0
voldemort/voldemort,42,0,0,0,38,38,0,21,0,0,0,0
voldemort/voldemort,47,0,0,,28,28,42,20,0,0,0,0
voldemort/voldemort,50,0,0,,0,0,1,31,0,0,0,0
voldemort/voldemort,52,0,0,0,1,1,0,2,0,0,0,0
voldemort/voldemort,55,0,0,0,25,25,0,10,0,1,0,0
voldemort/voldemort,62,1,0,1,9,9,4,1,0,0,0,0
voldemort/voldemort,73,6,2,,0,0,6,6,0,0,0,0
voldemort/voldemort,75,13,1,,28,28,2,60,1,1,1,0
voldemort/voldemort,77,0,0,0,3,3,0,25,0,0,0,0
voldemort/voldemort,97,0,0,0,19,19,0,5,0,0,0,0
voldemort/voldemort,101,0,0,0,,,0,17,0,0,0,0
voldemort/voldemort,112,1,0,0,26,26,1,15,0,1,0,0
voldemort/voldemort,113,0,0,0,35,35,8,5,0,0,0,0
voldemort/voldemort,116,25,25,25,29,29,25,103,25,25,25,0
voldemort/voldemort,125,1388,1417,182,1585,591,356,,347,692,278,0
voldemort/voldemort,141,29,28,,58,58,46,59,29,88,20,0
voldemort/voldemort,151,200,0,0,59,103,0,61,0,1,0,0
voldemort/voldemort,157,0,0,,34,34,9,30,0,0,0,0
voldemort/voldemort,162,0,0,,1,1,0,1,0,0,0,0
voldemort/voldemort,167,31,31,31,37,37,31,38,31,31,31,0
voldemort/voldemort,173,66,31,31,31,31,31,46,31,31,31,0
voldemort/voldemort,183,34,41,121,190,190,34,42,33,32,32,0
voldemort/voldemort,186,0,0,0,20,20,0,15,0,0,0,0
voldemort/voldemort,190,146,382,146,158,158,145,189,146,146,146,0
voldemort/voldemort,191,14,0,,,57,23,35,14,6,0,0
voldemort/voldemort,194,0,0,0,6,6,3,4,0,0,0,0
voldemort/voldemort,201,0,0,,29,29,0,171,0,0,0,0
voldemort/voldemort,207,0,0,0,8,8,0,2,0,0,0,0
voldemort/voldemort,213,0,0,0,14,14,0,0,0,0,0,0
voldemort/voldemort,215,1,1,1,6,6,2,7,0,1,0,0
voldemort/voldemort,217,0,0,,6,6,0,8,0,0,0,0
voldemort/voldemort,219,0,0,0,16,16,1,2,0,0,0,0
