project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
antlr/antlr4,8,0.0,0.0,,0.024700070571630206,0.024700070571630206,0.0,0.04851625058878945,0.0,0.1145478374836173,0.0,0.0
antlr/antlr4,11,0.0016286644951140066,0.0,0.0,0.014657980456026058,0.014657980456026058,0.0,0.003257328990228013,0.0,0.0,0.0,0.0
antlr/antlr4,21,0.0013360053440213762,0.0013360053440213762,,0.019149409930973058,0.0222667557336896,0.0015586729013582722,0.06286223807400802,0.0013360053440213762,0.0013360053440213762,0.0013360053440213762,0.0
antlr/antlr4,22,0.070298769771529,0.007908611599297012,0.029876977152899824,0.026362038664323375,0.026362038664323375,0.09381818181818181,0.007908611599297012,0.007908611599297012,0.007908611599297012,0.007908611599297012,0.0
antlr/antlr4,30,0.0,0.0,0.0,0.00210637177461822,0.00210637177461822,0.0,0.01158504476040021,0.0,0.0,0.0,0.0
antlr/antlr4,33,0.0,0.0,0.0,0.013468013468013467,0.013468013468013467,0.0,0.020009528346831826,0.0,0.0,0.0,0.0
antlr/antlr4,37,0.0,0.0,0.0,0.0,0.0,0.0,0.018518518518518517,0.0,0.0,0.0,0.0
antlr/antlr4,41,0.059154929577464786,0.007644197359277276,0.059154929577464786,0.05003474635163308,0.05003474635163308,0.022678951098511695,0.018763029881862403,0.059154929577464786,0.05083565459610028,0.03961084086170952,0.0
antlr/antlr4,54,0.006633499170812604,0.006633499170812604,,0.06949152542372881,0.1140495867768595,0.006633499170812604,0.01824212271973466,0.0,0.03728813559322034,0.0,0.0
antlr/antlr4,55,0.0,0.0,0.0,0.013936291240045506,0.013936291240045506,0.0,0.002275960170697013,0.0,0.0,0.0,0.0
antlr/antlr4,56,0.0007204610951008645,0.0007204610951008645,0.0,0.010079193664506839,0.010079193664506839,0.0007199424046076314,0.017278617710583154,0.0,0.0,0.0,0.0
antlr/antlr4,57,0.0,0.0,0.0,0.005719970156677443,0.005719970156677443,0.0002486943546381497,0.002238249191743347,0.0,0.0,0.0,0.0
antlr/antlr4,61,0.004373177842565598,0.0,0.004373177842565598,0.08017492711370262,0.08017492711370262,0.00510204081632653,0.0036443148688046646,0.0,0.0,0.0,0.0
nasa/mct,1,0.0,0.0,0.0,0.014511873350923483,0.014511873350923483,0.002638522427440633,0.010554089709762533,0.0,0.0,0.0,0.0
nasa/mct,9,0.04936068986024383,0.05330174711282203,0.04936068986024383,0.04936068986024383,0.04936068986024383,0.04936068986024383,0.05055010407374368,0.04936068986024383,0.04936068986024383,0.05330174711282203,0.0
nasa/mct,11,0.0,0.0,0.0,0.0,0.0,0.0,0.011396011396011397,0.0,0.0,0.0,0.0
nasa/mct,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nasa/mct,15,0.09113149847094801,0.09113149847094801,0.04756312389900176,,,0.04756312389900176,0.030525720746184284,0.04756312389900176,0.00903954802259887,0.00903954802259887,0.0
nasa/mct,16,0.546462063086104,0.06376811594202898,0.5243697478991597,0.0184460592509782,0.21152770005595972,0.5302521008403361,0.5470588235294118,0.5243697478991597,0.0441008018327606,0.04183381088825215,0.0
nasa/mct,23,0.009242144177449169,0.009242144177449169,,0.009242144177449169,0.03409090909090909,0.041635687732342004,0.014787430683918669,0.009242144177449169,0.009242144177449169,0.009242144177449169,0.0
nasa/mct,26,0.0,0.0,0.0,0.008237232289950576,0.008237232289950576,0.0,0.008237232289950576,0.0,0.0,0.0,0.0
nasa/mct,31,0.0,0.0,0.018915510718789406,0.03909205548549811,0.03909205548549811,0.018915510718789406,0.03530895334174023,0.018915510718789406,0.018915510718789406,0.018915510718789406,0.0
nasa/mct,32,0.0037393162393162395,0.0037393162393162395,0.0026680896478121665,0.005336179295624333,0.005336179295624333,0.0026680896478121665,0.011205976520811099,0.0026680896478121665,0.0026680896478121665,0.0026680896478121665,0.0
nasa/mct,37,0.020102105934907466,0.020102105934907466,,0.0012511729746637473,0.0012511729746637473,0.0,0.007507037847982484,0.0,0.0,0.0,0.0
rzwitserloot/lombok,8,0.0,0.0,,0.022482893450635387,0.022482893450635387,0.0,0.03519061583577713,0.0,0.0,0.0,0.0
rzwitserloot/lombok,10,1.4724310776942355,1.4705882352941178,0.7708703374777975,0.807347670250896,0.807347670250896,1.5350957155879672,0.8249551166965888,0.7708703374777975,0.7708703374777975,0.7708703374777975,0.0
rzwitserloot/lombok,11,0.0024615384615384616,0.00020466639377814163,0.0024615384615384616,0.017813267813267815,0.2824345969033636,0.018549395581492288,0.005116659844453541,0.00020466639377814163,0.006565449322938038,0.0,0.0
rzwitserloot/lombok,16,0.0004737091425864519,0.0,,0.009474182851729039,0.009474182851729039,0.0004737091425864519,0.01231643770724775,0.0,0.0,0.0,0.0
rzwitserloot/lombok,22,0.0,0.0,0.0,0.009384384384384385,0.009384384384384385,0.0007507507507507507,0.020645645645645645,0.0,0.0,0.0,0.0
rzwitserloot/lombok,25,0.0,0.0,0.0,0.016423357664233577,0.016423357664233577,0.01682935038707506,0.009288439210482667,0.0,0.00033178500331785003,0.0,0.0
rzwitserloot/lombok,37,0.0002895613146083683,0.0,0.0021710811984368217,0.017808020848414652,0.017808020848414652,0.0128,0.005645628257093225,0.0,0.0002895613146083683,0.0,0.0
