project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
antlr/antlr4,8,0,0,,0,0,0,0,0,1,0,0
antlr/antlr4,11,1,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,21,1,1,,1,1,0,1,1,1,4,0
antlr/antlr4,22,1,0,1,0,0,0,0,0,0,0,0
antlr/antlr4,30,0,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,33,0,0,0,1,0,0,0,0,0,0,0
antlr/antlr4,37,0,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,41,2,1,2,1,1,1,0,2,2,4,0
antlr/antlr4,54,1,1,,0,0,1,1,0,1,0,0
antlr/antlr4,55,0,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,56,1,1,0,0,0,0,0,0,0,0,0
antlr/antlr4,57,0,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,61,2,0,2,0,0,2,0,0,0,0,0
nasa/mct,1,0,0,0,0,0,0,0,0,0,0,0
nasa/mct,9,2,0,2,2,2,2,0,2,2,0,0
nasa/mct,11,0,0,0,0,0,0,0,0,0,0,0
nasa/mct,13,0,0,0,0,0,0,0,0,0,0,0
nasa/mct,15,3,3,2,,,2,0,2,0,0,0
nasa/mct,16,3,6,2,6,3,2,2,2,2,6,0
nasa/mct,23,1,1,,3,2,1,1,1,1,1,0
nasa/mct,26,0,0,0,0,0,0,0,0,0,0,0
nasa/mct,31,1,1,0,0,0,0,0,0,0,0,0
nasa/mct,32,1,1,0,0,0,0,0,0,0,0,0
nasa/mct,37,1,1,,0,0,0,0,0,0,0,0
rzwitserloot/lombok,8,0,0,,0,0,0,0,0,0,0,0
rzwitserloot/lombok,10,4,3,0,2,1,0,0,0,0,0,0
rzwitserloot/lombok,11,1,0,1,0,0,1,0,0,1,0,0
rzwitserloot/lombok,16,1,0,,1,1,1,0,0,0,0,0
rzwitserloot/lombok,22,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,25,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,37,1,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,41,1,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,45,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,47,0,0,,0,0,0,0,0,0,0,0
rzwitserloot/lombok,50,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,55,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,60,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,62,9,2,,2,0,8,,2,2,2,0
rzwitserloot/lombok,67,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,70,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,72,0,0,0,0,0,0,0,0,0,0,0
rzwitserloot/lombok,76,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,2,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,10,0,0,0,0,0,0,0,0,0,0,0
voldemort/voldemort,14,0,0,0,0,0,0,0,0,0,0,0
