project,index,git-merge,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
antlr/antlr4,8,1.0,1.0,,0.9736903376018626,0.9736903376018626,1.0,0.9738388844070531,1.0,0.9458286847650923,1.0,1.0
antlr/antlr4,11,0.998371335504886,1.0,1.0,0.9919093851132686,0.9919093851132686,1.0,0.9983739837398374,1.0,1.0,1.0,1.0
antlr/antlr4,21,0.9992210971403138,0.9992210971403138,,0.9859807925819627,0.984347442680776,0.9991099243435692,0.9665113254578953,0.9992210971403138,0.9992210971403138,0.9992210971403138,1.0
antlr/antlr4,22,0.966044142614601,0.9960612691466083,0.9852813852813853,0.9530434782608695,0.9530434782608695,0.9551927752691907,0.9960612691466083,0.9960612691466083,0.9960612691466083,0.9960612691466083,1.0
antlr/antlr4,30,1.0,1.0,1.0,0.9989479221462388,0.9989479221462388,1.0,0.9939774810159727,1.0,1.0,1.0,1.0
antlr/antlr4,33,1.0,1.0,1.0,0.991869918699187,0.991869918699187,1.0,0.9896177442189712,1.0,1.0,1.0,1.0
antlr/antlr4,37,1.0,1.0,1.0,1.0,1.0,1.0,0.9908256880733946,1.0,1.0,1.0,1.0
antlr/antlr4,41,0.9618163054695562,0.9961924541363794,0.9618163054695562,0.9694708276797829,0.9694708276797829,0.9831578947368421,0.990358126721763,0.9618163054695562,0.9612508497620667,0.9805792163543441,1.0
antlr/antlr4,54,0.9950331125827815,0.9950331125827815,,0.8490878938640133,0.8393700787401575,0.9950331125827815,0.9893004115226337,1.0,0.9757322175732217,1.0,1.0
antlr/antlr4,55,1.0,1.0,1.0,0.9899618266647816,0.9899618266647816,1.0,0.9985787379192723,1.0,1.0,1.0,1.0
antlr/antlr4,56,0.9996398991717681,0.9996398991717681,1.0,0.9910362136966655,0.9910362136966655,0.9996401583303347,0.9914346895074947,1.0,1.0,1.0,1.0
antlr/antlr4,57,1.0,1.0,1.0,0.9961524140498945,0.9961524140498945,0.999875668282979,0.9987577639751553,1.0,1.0,1.0,1.0
antlr/antlr4,61,0.9970887918486172,1.0,0.9970887918486172,0.9217897417242634,0.9217897417242634,0.9967260822117133,0.9981811567842852,1.0,1.0,1.0,1.0
nasa/mct,1,1.0,1.0,1.0,0.9901639344262295,0.9901639344262295,0.9986824769433466,0.994750656167979,1.0,1.0,1.0,1.0
nasa/mct,9,0.9692733362458134,0.963928726640591,0.9692733362458134,0.9692733362458134,0.9692733362458134,0.9692733362458134,0.9687090670935817,0.9692733362458134,0.9692733362458134,0.963928726640591,1.0
nasa/mct,11,1.0,1.0,1.0,1.0,1.0,1.0,0.9939780375487071,1.0,1.0,1.0,1.0
nasa/mct,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nasa/mct,15,0.9564200058496637,0.9564200058496637,0.9767708632061944,,,0.9767708632061944,0.9835517145246724,0.9767708632061944,0.9929676511954993,0.9929676511954993,1.0
nasa/mct,16,0.7849966510381782,0.6598870056497175,0.7918747918747919,0.9622641509433962,0.8859984697781178,0.7892287234042553,0.783614139411959,0.7918747918747919,0.7244668911335578,0.9780775716694773,1.0
nasa/mct,23,0.9949378739070409,0.9949378739070409,,0.9949378739070409,0.9827666511411272,0.9796067006554989,0.992198256080771,0.9949378739070409,0.9949378739070409,0.9949378739070409,1.0
nasa/mct,26,1.0,1.0,1.0,0.9958982772764561,0.9958982772764561,1.0,0.9950738916256158,1.0,1.0,1.0,1.0
nasa/mct,31,1.0,1.0,0.9906308557151781,0.9208320397392115,0.9208320397392115,0.9906308557151781,0.9743910056214866,0.9906308557151781,0.9906308557151781,0.9906308557151781,1.0
nasa/mct,32,0.9978666666666667,0.9978666666666667,0.9984008528784648,0.9970721320202289,0.9970721320202289,0.9984008528784648,0.9941613588110403,0.9984008528784648,0.9984008528784648,0.9984008528784648,1.0
nasa/mct,37,0.9900489654083083,0.9900489654083083,,0.9992183836173206,0.9992183836173206,1.0,0.9961040984883902,1.0,1.0,1.0,1.0
rzwitserloot/lombok,8,1.0,1.0,,0.9612403100775194,0.9612403100775194,1.0,0.9817307692307692,1.0,1.0,1.0,1.0
rzwitserloot/lombok,10,0.46199701937406856,0.462397617274758,0.6103505843071786,0.598068598068598,0.598068598068598,0.5657555440948943,0.6025768087215064,0.6103505843071786,0.6103505843071786,0.6103505843071786,1.0
rzwitserloot/lombok,11,0.9986681692449544,0.9997953336062219,0.9986681692449544,0.9877144887805869,0.8762573099415205,0.9907063197026023,0.9973458554512046,0.9997953336062219,0.9965228062998568,1.0,1.0
rzwitserloot/lombok,16,0.9995262908574135,1.0,,0.9296506137865911,0.9296506137865911,0.9995262908574135,0.9936425712267483,1.0,1.0,1.0,1.0
rzwitserloot/lombok,22,1.0,1.0,1.0,0.9032740879326473,0.9032740879326473,0.999624765478424,0.9895949461166852,1.0,1.0,1.0,1.0
rzwitserloot/lombok,25,1.0,1.0,1.0,0.980566534914361,0.980566534914361,0.9897268854923578,0.9947981174139212,1.0,0.9998341350140986,1.0,1.0
rzwitserloot/lombok,37,0.9998552403011002,1.0,0.998915636521362,0.9792429792429792,0.9792429792429792,0.9928359505029307,0.9970403522702663,1.0,0.9998552403011002,1.0,1.0
rzwitserloot/lombok,41,1.0,1.0,1.0,0.9930658741951461,0.9930658741951461,1.0,0.9980139026812314,1.0,1.0,1.0,1.0
