engine,mc,cfmc,pcfmc,wpmc,fc,aed,sim,dist,time
git-merge,100,57,53,99,0,5124,0.9819516353206451,0.0368567579429306,0.4055612087249756
imediff,100,72,62,95,0,7777,0.9816092466633328,0.02975632388914273,16.766096830368042
jfstmerge,100,60,53,77,23,3299,0.9824072091715622,0.03284509604296356,374.06389260292053
jdime,100,75,8,96,4,7765,0.9710925900656049,0.03215052288401187,906.6727743148804
automergeptm,100,81,8,93,3,6970,0.9691901648060159,0.03715204347369743,1006.414482831955
intellimerge,100,75,40,51,0,5377,0.962053527120711,0.03847120740860794,186.24663615226746
spork,100,86,5,96,4,4843,0.9792420732170889,0.040170400159785395,657.1974387168884
mergiraf,100,82,71,100,0,3131,0.9870006399021661,0.021901860562280842,85.58070230484009
mastery,100,80,61,97,0,4285,0.9844981427307925,0.023238644146885135,318.09812808036804
d3j,100,86,73,100,0,2214,0.9910867409397242,0.015465716382795152,341.7245168685913
repo,100,100,100,100,0,0,1.0,0.0,0.0
