refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.8;1072-1101;org.antlr.v4.runtime.atn.ParserATNSimulator.predTransition(ATNConfig, PredicateTransition, boolean, boolean);1275-1321;org.antlr.v4.runtime.atn.ParserATNSimulator.predTransition(ATNConfig, PredicateTransition, boolean, boolean, boolean)
Change Method Signature;method;0.87;701-718;org.antlr.v4.runtime.atn.ParserATNSimulator.computeReachSet(ATNConfigSet, int, boolean, boolean);849-893;org.antlr.v4.runtime.atn.ParserATNSimulator.computeReachSet(ATNConfigSet, int, boolean, boolean, boolean)
Change Method Signature;method;0.78;1407-1420;org.antlr.v4.runtime.atn.ParserATNSimulator.addDFAState(DFA, ATNConfigSet);1627-1641;org.antlr.v4.runtime.atn.ParserATNSimulator.addDFAState(DFA, DFAState)
Change Method Signature;method;0.86;1275-1284;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAltsFromConfigSet(ATNConfigSet);1500-1509;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAltsOrUniqueAlt(ATNConfigSet)
Change Method Signature;method;0.95;1183-1273;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAlts(ATNConfigSet, boolean);1403-1498;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAlts(ATNConfigSet)
Change Method Signature;method;0.91;720-736;org.antlr.v4.runtime.atn.ParserATNSimulator.computeStartState(ATNState, RuleContext, boolean, boolean);895-915;org.antlr.v4.runtime.atn.ParserATNSimulator.computeStartState(ATNState, RuleContext, boolean, boolean, boolean)
Change Method Signature;method;0.76;928-936;org.antlr.v4.runtime.atn.ParserATNSimulator.closure(ATNConfig, ATNConfigSet, Set, boolean, boolean, boolean);1083-1096;org.antlr.v4.runtime.atn.ParserATNSimulator.closure(ATNConfig, ATNConfigSet, Set, boolean, boolean, boolean, boolean)
Change Method Signature;method;0.88;1046-1064;org.antlr.v4.runtime.atn.ParserATNSimulator.getEpsilonTarget(ATNConfig, Transition, boolean, boolean);1241-1267;org.antlr.v4.runtime.atn.ParserATNSimulator.getEpsilonTarget(ATNConfig, Transition, boolean, boolean, boolean)
Change Method Signature;method;0.66;1398-1404;org.antlr.v4.runtime.atn.ParserATNSimulator.addDFAEdge(DFAState, int, DFAState);1609-1624;org.antlr.v4.runtime.atn.ParserATNSimulator.addDFAEdge(DFA, DFAState, int, DFAState)
Inline Method;method;0.81;578-778;org.antlr.v4.runtime.atn.ParserATNSimulator.execATN(DFA, DFAState, TokenStream, int, ParserRuleContext);1286-1292;org.antlr.v4.runtime.atn.ParserATNSimulator.resolveToMinAlt(DFAState, IntervalSet)
Inline Method;method;0.81;578-778;org.antlr.v4.runtime.atn.ParserATNSimulator.execATN(DFA, DFAState, TokenStream, int, ParserRuleContext);786-804;org.antlr.v4.runtime.atn.ParserATNSimulator.predicateDFAState(DFAState, ATNConfigSet, RuleContext, int)
Change Constructor Signature;constructor;0.67;270-272;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(ATN);299-303;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(ATN, DFA[], PredictionContextCache)
Change Constructor Signature;constructor;0.69;274-283;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(Parser, ATN);305-315;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(Parser, ATN, DFA[], PredictionContextCache)
