project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
FasterXML/jackson-core,6,7,,324,424,112,536,7,319,63,0
FasterXML/jackson-core,52,0,1,5,5,1,76,0,1,0,0
FasterXML/jackson-core,58,76,,164,127,108,38,87,135,60,0
MinecraftForge/MinecraftForge,3,10,128,141,141,25,23,10,37,10,0
MozeIntel/ProjectE,22,6,0,20,20,3,29,0,12,0,0
MozeIntel/ProjectE,32,0,0,0,2,19,0,0,0,0,0
MozeIntel/ProjectE,33,0,0,20,2,21,46,0,0,0,0
alibaba/druid,2,277,76,128,133,76,91,3,76,76,0
alibaba/druid,6,104,98,98,98,94,106,115,83,96,0
android/platform_frameworks_support,15,0,12,0,0,0,0,0,0,0,0
antlr/antlr4,15,32,32,39,39,35,43,32,32,32,0
antlr/antlr4,39,12,,,82,10,313,8,4,4,0
antlr/antlr4,58,165,,147,147,138,138,156,147,144,0
antlr/antlr4,88,4,18,19,18,5,6,5,14,5,0
antlr/antlr4,162,0,,2,2,2,10,1,0,0,0
antlr/antlr4,164,2,2,37,37,6,20,2,2,2,0
apache/cassandra,12,4,34,30,30,34,,2,40,2,0
apache/cassandra,36,0,,61,61,5,39,0,0,0,0
apache/cassandra,51,68,55,109,107,48,57,217,280,47,0
apache/cassandra,61,0,9,23,23,11,40,9,0,0,0
apache/cassandra,62,771,,379,424,24,195,36,14,270,0
apache/cassandra,90,0,,13,13,32,10,0,0,0,0
apache/cassandra,113,1346,,,,95,136,59,95,100,0
apache/cassandra,165,96,,110,171,90,,77,90,72,0
apache/cassandra,231,27,1,1,1,1,5,27,1,1,0
apache/cassandra,276,203,,111,192,90,,191,343,193,0
apache/cassandra,282,0,0,0,0,0,0,0,0,0,0
apache/cassandra,286,0,,13,13,3,17,2,1,6,0
apache/cassandra,321,9,71,74,74,75,49,71,3,51,0
apache/cassandra,330,4,35,19,19,35,15,4,26,4,0
apache/cassandra,339,129,92,111,112,94,,92,104,63,0
apache/cassandra,343,60,,,225,160,156,73,71,103,0
apache/cassandra,367,6,,,85,135,61,48,35,24,0
apache/cassandra,466,0,,56,56,23,48,0,379,0,0
apache/cassandra,485,15,,49,49,46,38,23,152,29,0
apache/cassandra,490,34,34,42,42,34,47,49,34,34,0
apache/cassandra,576,23,23,31,74,31,36,23,23,34,0
apache/cassandra,611,0,,70,74,21,95,19,25,39,0
apache/cassandra,655,118,372,424,406,308,177,300,285,164,0
apache/cassandra,684,0,,92,92,34,95,0,0,0,0
apache/cassandra,704,5,0,39,39,2,0,0,0,27,0
apache/cassandra,708,29,,40,58,22,45,15,14,24,0
apache/cassandra,733,4,,53,53,10,80,4,5,3,0
apache/cassandra,741,13,17,18,18,17,16,16,13,13,0
apache/cassandra,761,1,1,20,33,2,20,0,0,0,0
apache/cassandra,764,0,,201,,7,277,0,1,0,0
apache/cassandra,779,64,,77,77,35,44,1,28,28,0
apache/cassandra,808,14,,41,41,0,13,29,29,32,0
apache/cassandra,879,0,,151,157,6,478,2,3,51,0
apache/cassandra,911,6,,22,47,44,,31,31,37,0
apache/cassandra,957,0,0,8,8,2,22,0,0,0,0
apache/cassandra,976,13,40,20,20,40,7,40,13,13,0
apache/cassandra,986,6,181,173,173,193,3,181,144,141,0
apache/storm,6,10,4,13,13,4,16,4,4,4,0
apache/storm,24,17,12,24,24,16,29,17,17,17,0
apache/storm,35,0,,49,49,60,16,0,56,0,0
cometd/cometd,8,0,0,0,0,1,0,0,0,0,0
cometd/cometd,34,15,10,0,0,5,13,122,6,5,0
cometd/cometd,42,27,25,0,27,25,14,25,5,5,0
cometd/cometd,68,22,,101,101,187,29,188,291,216,0
deeplearning4j/deeplearning4j,19,19,29,38,38,27,29,31,31,24,0
deeplearning4j/deeplearning4j,26,17,16,16,16,32,17,16,16,16,0
deeplearning4j/deeplearning4j,31,944,0,18,18,3,45,0,0,0,0
deeplearning4j/deeplearning4j,36,6,82,74,381,15,,0,0,3,0
deeplearning4j/deeplearning4j,57,45,56,56,56,56,85,56,44,53,0
deeplearning4j/deeplearning4j,64,3,3,104,112,10,11,3,3,10,0
deeplearning4j/deeplearning4j,68,0,,101,101,8,78,0,1,11,0
elasticsearch/elasticsearch,2,93,722,483,743,709,268,442,465,770,0
elasticsearch/elasticsearch,6,0,,3,3,145,1,0,0,0,0
elasticsearch/elasticsearch,22,10,,10,10,42,7,4,4,8,0
elasticsearch/elasticsearch,48,0,,39,131,652,82,0,0,0,0
elasticsearch/elasticsearch,69,11,,43,43,876,126,6,57,3,0
elasticsearch/elasticsearch,75,2,675,8,8,459,5,459,0,0,0
elasticsearch/elasticsearch,102,0,0,2,2,0,0,0,0,0,0
elasticsearch/elasticsearch,177,94,,108,108,98,159,92,92,92,0
elasticsearch/elasticsearch,181,22,24,63,63,23,22,24,22,22,0
elasticsearch/elasticsearch,192,2,,4,47,6,90,2,8,4,0
elasticsearch/elasticsearch,226,169,2612,2635,2635,34,2709,2709,2612,2612,0
elasticsearch/elasticsearch,236,26,83,32,32,101,125,83,26,6,0
elasticsearch/elasticsearch,262,19,12,12,12,0,23,22,12,15,0
elasticsearch/elasticsearch,298,2,,853,832,1089,21,0,779,0,0
elasticsearch/elasticsearch,299,7,,53,104,22,53,14,18,0,0
elasticsearch/elasticsearch,307,0,0,0,0,0,10,0,0,0,0
elasticsearch/elasticsearch,323,1,2,21,21,3,8,2,2,8,0
elasticsearch/elasticsearch,350,3,3,15,15,8,4,3,3,1,0
elasticsearch/elasticsearch,396,7,0,0,7,4,1,0,0,0,0
elasticsearch/elasticsearch,400,94,86,93,87,297,86,105,1151,79,0
excilys/androidannotations,12,17,0,0,0,0,0,0,0,0,0
gradle/gradle,36,4,,8,68,207,3,3,3,3,0
gradle/gradle,50,0,,8,8,25,3,0,0,0,0
gradle/gradle,72,40,,0,0,0,5,0,0,0,0
gradle/gradle,105,5,,11,11,13,18,3,3,24,0
gradle/gradle,122,3,,471,494,5,9,480,20,3,0
gradle/gradle,128,61,1,61,1,18,1,1,1,1,0
gradle/gradle,136,38,59,63,63,35,144,33,8,7,0
iFixit/iFixitAndroid,3,6,6,6,6,12,9,0,6,0,0
javaparser/javaparser,0,0,132,170,170,132,133,103,182,60,0
javaparser/javaparser,26,3,25,61,61,1012,,1,1,35,0
owncloud/android,30,1,152,3,3,145,3,0,177,0,0
realm/realm-java,44,165,,,219,2328,341,341,424,200,0
