project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,3068,965,2681,3067,1809,2321,1641,2282,1605,0
elasticsearch/elasticsearch,20,562,4219,4477,4903,4568,3800,3967,5251,3620,0
gradle/gradle,7,151,60,622,645,303,183,520,35,38,0
javaparser/javaparser,2,3,157,231,231,1144,133,104,183,95,0
deeplearning4j/deeplearning4j,7,1034,186,407,722,151,265,106,95,117,0
MozeIntel/ProjectE,3,6,0,40,24,43,75,0,12,0,0
antlr/antlr4,6,215,52,244,325,196,530,204,199,187,0
apache/storm,3,27,16,86,86,80,61,21,77,21,0
alibaba/druid,2,381,174,226,231,170,197,118,159,172,0
FasterXML/jackson-core,3,83,1,493,556,221,650,94,455,123,0
cometd/cometd,4,64,35,101,128,218,56,335,302,226,0
owncloud/android,1,1,152,3,3,145,3,0,177,0,0
iFixit/iFixitAndroid,1,6,6,6,6,12,9,0,6,0,0
android/platform_frameworks_support,1,0,12,0,0,0,0,0,0,0,0
realm/realm-java,1,165,,,219,2328,341,341,424,200,0
MinecraftForge/MinecraftForge,1,10,128,141,141,25,23,10,37,10,0
excilys/androidannotations,1,17,0,0,0,0,0,0,0,0,0
