project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,15,4,12,14,11,19,13,11,14,37
elasticsearch/elasticsearch,20,6,3,9,12,7,9,7,11,13,20
gradle/gradle,7,3,1,2,4,4,5,5,5,4,7
javaparser/javaparser,2,0,0,1,2,0,0,1,1,0,2
deeplearning4j/deeplearning4j,7,0,1,1,2,1,3,2,2,1,7
MozeIntel/ProjectE,3,0,1,0,2,3,1,1,1,1,3
antlr/antlr4,6,2,1,0,1,0,3,1,3,3,6
apache/storm,3,2,1,3,3,1,3,3,2,3,3
alibaba/druid,2,0,0,0,2,0,0,0,1,0,2
FasterXML/jackson-core,3,2,0,0,1,0,2,2,1,0,3
cometd/cometd,4,1,1,2,2,1,4,1,2,2,4
owncloud/android,1,0,0,1,1,0,1,1,0,1,1
iFixit/iFixitAndroid,1,0,0,0,0,0,1,1,0,1,1
android/platform_frameworks_support,1,1,0,1,1,1,1,1,1,1,1
realm/realm-java,1,0,0,0,0,0,0,0,0,0,1
MinecraftForge/MinecraftForge,1,1,0,0,0,0,1,1,0,1,1
excilys/androidannotations,1,0,1,1,1,1,1,1,1,1,1
