project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
FasterXML/jackson-core,6,0.0005607177186799103,,0.025953220121755848,0.03400433074023578,0.008975078131260517,0.04314925132828852,0.0005607177186799103,0.025558849451165773,0.005062680810028929,0.0
FasterXML/jackson-core,52,0.0,0.0006451612903225806,0.0032258064516129032,0.0032258064516129032,0.0006451612903225806,0.0492546986390149,0.0,0.0006451612903225806,0.0,0.0
FasterXML/jackson-core,58,0.00623768877216021,,0.013460275771503612,0.010423506237688772,0.00886408404464872,0.003118844386080105,0.007141098251662152,0.011080105055810899,0.004924491135915955,0.0
MinecraftForge/MinecraftForge,3,0.03663003663003663,0.46886446886446886,0.5183823529411765,0.5183823529411765,0.09157509157509157,0.08424908424908426,0.03663003663003663,0.14859437751004015,0.03663003663003663,0.0
MozeIntel/ProjectE,22,0.010416666666666666,0.0,0.045454545454545456,0.045454545454545456,0.0066518847006651885,0.06444444444444444,0.0,0.02733485193621868,0.0,0.0
MozeIntel/ProjectE,32,0.0,0.0,0.0,0.017391304347826087,0.1919191919191919,0.0,0.0,0.0,0.0,0.0
MozeIntel/ProjectE,33,0.0,0.0,0.14184397163120568,0.014184397163120567,0.17073170731707318,0.3262411347517731,0.0,0.0,0.0,0.0
alibaba/druid,2,0.0723048812320543,0.01888198757763975,0.031801242236024846,0.03301067262347977,0.01888198757763975,0.02264808362369338,0.000731528895391368,0.01888198757763975,0.01888198757763975,0.0
alibaba/druid,6,0.04133545310015898,0.03882725832012678,0.03881188118811881,0.03881188118811881,0.037227722772277226,0.04165029469548134,0.04567116759332804,0.032715806070161606,0.03803486529318542,0.0
android/platform_frameworks_support,15,0.0,0.034782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antlr/antlr4,15,0.03285420944558522,0.03285420944558522,0.04004106776180698,0.04004106776180698,0.03593429158110883,0.044147843942505136,0.03285420944558522,0.03285420944558522,0.03285420944558522,0.0
antlr/antlr4,39,0.0014527845036319612,,,0.012921525370312008,0.001575795776867318,0.04932240781594705,0.0012606366214938543,0.0006299212598425197,0.0006299212598425197,0.0
antlr/antlr4,58,0.11418685121107267,,0.09813084112149532,0.09813084112149532,0.09212283044058744,0.09212283044058744,0.1078838174273859,0.09813084112149532,0.09612817089452604,0.0
antlr/antlr4,88,0.01680672268907563,0.07563025210084033,0.07983193277310924,0.07563025210084033,0.02100840336134454,0.025210084033613446,0.02100840336134454,0.0611353711790393,0.02100840336134454,0.0
antlr/antlr4,162,0.0,,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.22727272727272727,0.022727272727272728,0.0,0.0,0.0
antlr/antlr4,164,0.006688963210702341,0.006688963210702341,0.13503649635036497,0.13503649635036497,0.020338983050847456,0.06688963210702341,0.006688963210702341,0.006688963210702341,0.006688963210702341,0.0
apache/cassandra,12,0.003780718336483932,0.03304178814382896,0.02881844380403458,0.02881844380403458,0.03300970873786408,,0.0018867924528301887,0.03875968992248062,0.0018867924528301887,0.0
apache/cassandra,36,0.0,,0.025448477263245724,0.025448477263245724,0.0020876826722338203,0.0162771285475793,0.0,0.0,0.0,0.0
apache/cassandra,51,0.045454545454545456,0.03681392235609103,0.07512060647829083,0.07369146005509641,0.0321285140562249,0.038280725319006045,0.14672075726842462,0.2098950524737631,0.03139612558450234,0.0
apache/cassandra,61,0.0,0.00932642487046632,0.02383419689119171,0.02383419689119171,0.011398963730569948,0.04145077720207254,0.00932642487046632,0.0,0.0,0.0
apache/cassandra,62,0.0348112696405996,,0.016887977898583015,0.018893146778362,0.0010694234025487924,0.00869720351456224,0.0016041351038231886,0.0006238303181534623,0.012033694344163659,0.0
apache/cassandra,90,0.0,,0.009272467902995721,0.009272467902995721,0.02282453637660485,0.007132667617689016,0.0,0.0,0.0,0.0
apache/cassandra,113,0.5460446247464503,,,,0.025279403938265034,0.03616059558628024,0.015571390868302983,0.025,0.026483050847457626,0.0
apache/cassandra,165,0.06832740213523132,,0.07818052594171997,0.1261061946902655,0.06373937677053824,,0.05399719495091164,0.06378454996456413,0.05003474635163308,0.0
apache/cassandra,231,0.09540636042402827,0.0032258064516129032,0.0032258064516129032,0.0032258064516129032,0.0032258064516129032,0.016129032258064516,0.09540636042402827,0.0032258064516129032,0.0032258064516129032,0.0
apache/cassandra,276,0.09115401885945218,,0.06706948640483383,0.1198501872659176,0.054249547920433995,,0.12111604311984782,0.22821024617431804,0.12292993630573248,0.0
apache/cassandra,282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
