project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,0.03914567113406971,0.04583020150277824,0.044916428844180394,0.052217995349475445,0.03532494703218327,0.03354379667369494,0.03496207140083274,0.037601959874567055,0.026398021005963078,0.0
elasticsearch/elasticsearch,20,0.02088661765276647,0.10658752234848091,0.08222188448992822,0.09167547469958869,0.07592934269299302,0.0667015268661526,0.06310105508811437,0.10528718599400243,0.05912589566991688,0.0
gradle/gradle,7,0.04690137051107451,0.048967196596506946,2.0778327857296945,2.1587898874719165,0.05463864265029577,0.08990429860269451,2.086570201062484,0.08907961662065043,0.01604828287503098,0.0
javaparser/javaparser,2,0.0013736263736263737,0.019412553884050318,0.0383357526172253,0.0383357526172253,1.0532930252645216,0.015795724465558193,0.00657342793991845,0.011264639341343629,0.019603275340673316,0.0
deeplearning4j/deeplearning4j,7,0.049880411699471716,0.02818735773992049,0.03114378176852455,0.04844875059162799,0.03287487182561208,0.029866395499128867,0.01988764851965181,0.019221033299771692,0.01938975708480672,0.0
MozeIntel/ProjectE,3,0.003472222222222222,0.0,0.062432839028583716,0.02567674898849737,0.12310092797897676,0.13022852639873916,0.0,0.009111617312072893,0.0,0.0
antlr/antlr4,6,0.028664921843344637,0.0383911415857093,0.07969897669226439,0.06786912135989417,0.03607247494421684,0.08416092093540062,0.03207055046563076,0.03323988436944412,0.026218278028666775,0.0
apache/storm,3,0.008113977782810422,0.006736480473519733,0.018848978519071073,0.018848978519071073,0.015146619723687173,0.015946596805857537,0.0057160318723261955,0.014716353312377625,0.0057160318723261955,0.0
alibaba/druid,2,0.05682016716610663,0.028854622948883267,0.03530656171207183,0.03591127690579929,0.02805485517495849,0.03214918915958736,0.023201348244359703,0.02579889682390068,0.028458426435412586,0.0
FasterXML/jackson-core,3,0.0022661354969467067,0.0006451612903225806,0.01421310078162412,0.015884547809845818,0.006161441155410606,0.031840931451127846,0.002567271990114021,0.012428038599099751,0.0033290573153149615,0.0
cometd/cometd,4,0.008684966961041186,0.007428588443004405,0.017546907574704656,0.022224662252459334,0.04044307394651697,0.009061273054043698,0.0521626973495679,0.053155889831677586,0.045200166786836124,0.0
owncloud/android,1,0.0028735632183908046,0.4393063583815029,0.008595988538681949,0.008595988538681949,0.41786743515850144,0.008595988538681949,0.0,0.5071633237822349,0.0,0.0
iFixit/iFixitAndroid,1,0.007585335018963337,0.007585335018963337,0.007585335018963337,0.007585335018963337,0.015170670037926675,0.011378002528445006,0.0,0.007585335018963337,0.0,0.0
android/platform_frameworks_support,1,0.0,0.034782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
realm/realm-java,1,0.04194204372140315,,,0.05573937388648511,0.5316282256222882,0.08663617886178862,0.08663617886178862,0.10766886744540376,0.05082592121982211,0.0
MinecraftForge/MinecraftForge,1,0.03663003663003663,0.46886446886446886,0.5183823529411765,0.5183823529411765,0.09157509157509157,0.08424908424908426,0.03663003663003663,0.14859437751004015,0.03663003663003663,0.0
excilys/androidannotations,1,0.0513595166163142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
