project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,0,20,3,2,0,5,0,0,0,0
elasticsearch/elasticsearch,20,0,8,0,0,0,0,0,0,0,0
gradle/gradle,7,0,5,0,0,0,0,0,0,0,0
javaparser/javaparser,2,0,0,0,0,0,1,0,0,0,0
deeplearning4j/deeplearning4j,7,0,1,0,0,0,1,0,0,0,0
MozeIntel/ProjectE,3,0,0,0,0,0,0,0,0,0,0
antlr/antlr4,6,0,3,1,0,0,0,0,0,0,0
apache/storm,3,0,1,0,0,0,0,0,0,0,0
alibaba/druid,2,0,0,0,0,0,0,0,0,0,0
FasterXML/jackson-core,3,0,2,0,0,0,0,0,0,0,0
cometd/cometd,4,0,1,0,0,0,0,0,0,0,0
owncloud/android,1,0,0,0,0,0,0,0,0,0,0
iFixit/iFixitAndroid,1,0,0,0,0,0,0,0,0,0,0
android/platform_frameworks_support,1,0,0,0,0,0,0,0,0,0,0
realm/realm-java,1,0,1,1,0,0,0,0,0,0,0
MinecraftForge/MinecraftForge,1,0,0,0,0,0,0,0,0,0,0
excilys/androidannotations,1,0,0,0,0,0,0,0,0,0,0
