project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
FasterXML/jackson-core,6,0,,2,2,7,0,0,0,4,0
FasterXML/jackson-core,52,1,2,2,2,1,0,1,2,1,0
FasterXML/jackson-core,58,0,,2,0,1,2,0,1,1,0
MinecraftForge/MinecraftForge,3,0,2,2,2,3,0,0,2,0,0
MozeIntel/ProjectE,22,3,0,1,1,0,0,0,0,0,0
MozeIntel/ProjectE,32,1,1,1,0,0,1,3,1,2,0
MozeIntel/ProjectE,33,1,1,1,0,0,1,1,1,1,0
alibaba/druid,2,4,2,1,0,2,5,1,1,2,0
alibaba/druid,6,3,2,1,0,1,3,5,0,5,0
android/platform_frameworks_support,15,0,2,0,0,0,0,0,0,0,0
antlr/antlr4,15,2,2,2,2,2,1,2,2,5,0
antlr/antlr4,39,126,,,0,3,0,8,0,0,0
antlr/antlr4,58,5,,2,1,1,2,2,1,13,0
antlr/antlr4,88,1,2,1,1,1,1,2,2,2,0
antlr/antlr4,162,0,,1,1,1,0,1,0,0,0
antlr/antlr4,164,0,0,1,1,1,0,0,0,0,0
apache/cassandra,12,2,2,2,1,2,,0,1,0,0
apache/cassandra,36,0,,0,0,2,0,0,0,0,0
apache/cassandra,51,4,2,5,4,1,2,3,3,3,0
apache/cassandra,61,1,2,0,0,2,1,2,0,0,0
apache/cassandra,62,0,,1,1,1,0,1,1,1,0
apache/cassandra,90,0,,0,0,2,0,0,0,0,0
apache/cassandra,113,4,,,,0,2,3,3,19,0
apache/cassandra,165,11,,18,9,10,,10,10,10,0
apache/cassandra,231,2,0,0,0,0,0,2,0,0,0
apache/cassandra,276,7,,9,3,5,,7,3,12,0
apache/cassandra,282,0,0,0,0,0,0,0,0,0,0
apache/cassandra,286,2,,1,1,2,1,1,2,2,0
apache/cassandra,321,2,1,0,0,0,2,0,3,3,0
apache/cassandra,330,2,3,2,2,3,0,1,1,6,0
apache/cassandra,339,12,3,4,1,3,,3,1,18,0
apache/cassandra,343,5,,,1,0,4,6,5,11,0
apache/cassandra,367,7,,,2,3,3,2,5,9,0
apache/cassandra,466,0,,0,0,1,0,0,1,0,0
apache/cassandra,485,0,,0,0,1,2,2,1,1,0
apache/cassandra,490,0,0,0,0,0,0,1,0,0,0
apache/cassandra,576,5,5,5,0,5,5,5,2,11,0
apache/cassandra,611,0,,1,1,0,0,2,1,1,0
apache/cassandra,655,10,2,5,0,1,0,2,5,11,0
apache/cassandra,684,0,,0,0,1,0,0,0,0,0
apache/cassandra,704,0,1,1,1,1,1,1,1,1,0
apache/cassandra,708,4,,6,4,4,6,3,4,13,0
apache/cassandra,733,0,,1,1,1,0,0,0,0,0
apache/cassandra,741,0,2,1,1,2,0,1,0,0,0
apache/cassandra,761,1,1,1,1,1,0,0,0,0,0
apache/cassandra,764,0,,1,,0,0,0,1,0,0
apache/cassandra,779,2,,1,1,0,1,0,2,2,0
apache/cassandra,808,3,,1,1,0,0,0,1,5,0
apache/cassandra,879,0,,27,27,1,1,1,1,10,0
apache/cassandra,911,5,,7,3,4,,5,5,5,0
apache/cassandra,957,0,0,0,0,0,0,0,0,0,0
apache/cassandra,976,1,1,1,1,1,0,1,1,1,0
apache/cassandra,986,2,1,0,0,1,0,1,1,2,0
apache/storm,6,1,0,0,0,0,0,0,0,0,0
apache/storm,24,0,2,0,0,2,0,0,0,0,0
