project,index,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
FasterXML/jackson-core,6,0.9994793543994553,,0.9779609957190424,0.9739047920291001,0.988983795002794,0.9702986022871665,0.9994793543994553,0.9867046533713201,0.9911390882482659,1.0
FasterXML/jackson-core,52,1.0,0.9993548387096775,0.9980670103092784,0.9980670103092784,0.9993548387096775,0.8276303165973776,1.0,0.9993548387096775,1.0,1.0
FasterXML/jackson-core,58,0.9968908525609557,,0.9839816933638444,0.9854716595048086,0.9955875142997221,0.9984430058182414,0.9940271641302569,0.9944904705546259,0.9972564596044388,1.0
MinecraftForge/MinecraftForge,3,0.9633699633699634,0.4938650306748466,0.4901065449010654,0.4901065449010654,0.9084249084249084,0.9294755877034359,0.9633699633699634,0.9042145593869731,0.9633699633699634,1.0
MozeIntel/ProjectE,22,0.9948186528497409,1.0,0.9732142857142857,0.9732142857142857,0.9966850828729282,0.9687836383207751,1.0,0.9865168539325843,1.0,1.0
MozeIntel/ProjectE,32,1.0,1.0,1.0,0.9913793103448276,0.9124423963133641,1.0,1.0,1.0,1.0,1.0
MozeIntel/ProjectE,33,1.0,1.0,0.9337748344370861,0.9929577464788732,0.9213483146067416,0.8597560975609756,1.0,1.0,1.0,1.0
alibaba/druid,2,0.9455370650529501,0.9906473049470834,0.9205298013245033,0.9192896509491733,0.9906473049470834,0.9885538461538461,0.9814679346500853,0.9906473049470834,0.9906473049470834,1.0
alibaba/druid,6,0.977959820557831,0.9789719626168224,0.9787813899162936,0.9787813899162936,0.9801401869158879,0.9708325284914043,0.974109402374927,0.9819312220711094,0.9795520934761441,1.0
android/platform_frameworks_support,15,1.0,0.9741379310344828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
antlr/antlr4,15,0.9822964087000505,0.9822964087000505,0.9762506316321374,0.9762506316321374,0.9808080808080808,0.9753148614609571,0.9822964087000505,0.9822964087000505,0.9822964087000505,1.0
antlr/antlr4,39,0.999274135010888,,,0.9857344411349741,0.9992127224059203,0.9717061136381158,0.9993700787401575,0.9996851385390428,0.9996851385390428,1.0
antlr/antlr4,58,0.9334657398212513,,0.919246728375359,0.919246728375359,0.9523809523809523,0.955966815571155,0.9362972793629728,0.9532293986636972,0.9534735500318674,1.0
antlr/antlr4,88,0.9831932773109243,0.9363449691991786,0.9344262295081968,0.9363449691991786,0.9789915966386554,0.9747899159663865,0.9789915966386554,0.9615384615384616,0.9789915966386554,1.0
antlr/antlr4,162,1.0,,0.9545454545454546,0.9545454545454546,0.9545454545454546,0.8979591836734694,0.9772727272727273,1.0,1.0,1.0
