project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,0.9577925304478152,0.9722303869777691,0.970332497593464,0.9678770907937342,0.9773956363372143,0.9817728397604508,0.9795061903465061,0.9754450237119423,0.979526537228362,1.0
elasticsearch/elasticsearch,20,0.9831937294862232,0.9440670149516884,0.9423221070191096,0.9382921053671648,0.9600445571048176,0.9662265213043519,0.9587573342831046,0.9538473512908939,0.9679067314559933,1.0
gradle/gradle,7,0.9776009871388329,0.9539364950388058,0.8478184011960636,0.8537600193741213,0.9734487830242723,0.9601175890085812,0.8695798794703044,0.9633152455924338,0.991457421288369,1.0
javaparser/javaparser,2,0.9993141289437586,0.9885389611829413,0.9809498950352716,0.9809498950352716,0.7405556864901668,0.9921640252165204,0.9917084981882655,0.9944255624046896,0.9873842811549045,1.0
deeplearning4j/deeplearning4j,7,0.9748380974651913,0.9833776696458121,0.9737935605799171,0.9662438433291713,0.9703663248570713,0.9829566246777597,0.9882831613281418,0.9887673713574181,0.9888017511511518,1.0
MozeIntel/ProjectE,3,0.998272884283247,1.0,0.9689963733837906,0.9858504475126622,0.9434919312643446,0.9428465786272502,1.0,0.9955056179775281,1.0,1.0
antlr/antlr4,6,0.9824827045849635,0.9717693481886319,0.944244236162657,0.9514790602732067,0.9759786154475173,0.9572290717938597,0.9784824595635384,0.9822360123513199,0.9851855600960472,1.0
apache/storm,3,0.9958458657511904,0.9966440538595951,0.9769711307487109,0.9769711307487109,0.9897048368732156,0.9915768509826564,0.9970349097205782,0.9891796371664243,0.9970349097205782,1.0
alibaba/druid,2,0.9617484428053906,0.984809633781953,0.9496555956203985,0.9490355204327334,0.9853937459314857,0.9796931873226252,0.9777886685125061,0.9862892635090964,0.9850996992116138,1.0
FasterXML/jackson-core,3,0.9987900689868037,0.9993548387096775,0.9866698997973884,0.9858144872810624,0.9946420493373979,0.9321239749009285,0.9978355061765708,0.9935166542118745,0.9961318492842349,1.0
cometd/cometd,4,0.9951601902107385,0.7368761711820098,0.9862045760430687,0.983887377278908,0.7837325463450805,0.9843356513841451,0.7740763870119688,0.9670366851796703,0.9668819005049053,1.0
owncloud/android,1,0.9985652797704447,0.7904761904761904,0.9957203994293866,0.9957203994293866,0.5287081339712919,0.9957203994293866,1.0,0.7692307692307693,1.0,1.0
iFixit/iFixitAndroid,1,0.9924146649810367,0.9924146649810367,0.9924146649810367,0.9924146649810367,0.9886649874055415,0.994343180389692,1.0,0.9924146649810367,1.0,1.0
android/platform_frameworks_support,1,1.0,0.9741379310344828,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
realm/realm-java,1,0.9544034978138664,,,0.9483766637641498,0.7900054122316436,0.9344924696951145,0.9344924696951145,0.9236928302802377,0.9510524349234026,1.0
MinecraftForge/MinecraftForge,1,0.9633699633699634,0.4938650306748466,0.4901065449010654,0.4901065449010654,0.9084249084249084,0.9294755877034359,0.9633699633699634,0.9042145593869731,0.9633699633699634,1.0
excilys/androidannotations,1,0.9749631811487481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
