project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,5.008729457855225,44.60740947723389,340.3721306324005,321.8616044521332,119.68450260162354,320.30598402023315,8.781792163848877,128.26848006248474,112.39310264587402,
elasticsearch/elasticsearch,20,1.7236146926879883,39.70980763435364,264.099885225296,267.8229501247406,43.201353311538696,161.6535348892212,4.1832075119018555,62.278560400009155,43.662357330322266,
gradle/gradle,7,0.6853916645050049,5.190101623535156,26.029577255249023,26.34188961982727,18.502933025360107,45.24362802505493,0.6769113540649414,16.509746074676514,9.47821855545044,
javaparser/javaparser,2,0.31410765647888184,6.280269622802734,196.99527621269226,182.26522755622864,4.324965238571167,17.112656116485596,1.1148502826690674,7.052845478057861,5.733981132507324,
deeplearning4j/deeplearning4j,7,0.8842735290527344,38.45295000076294,42.37937688827515,43.12508177757263,23.7383074760437,54.21880865097046,1.9970123767852783,24.993922472000122,31.738779544830322,
MozeIntel/ProjectE,3,0.18193316459655762,4.239258527755737,4.409185886383057,3.427635908126831,3.479193925857544,9.297335147857666,0.09291291236877441,3.9708502292633057,1.0243616104125977,
antlr/antlr4,6,1.2205655574798584,5.262494325637817,14.102661371231079,26.432435750961304,17.9147732257843,40.5956494808197,1.0093343257904053,16.069344997406006,22.494154691696167,
apache/storm,3,0.350020170211792,4.262291193008423,14.40961480140686,15.220050573348999,6.395430564880371,17.75734043121338,0.23285794258117676,7.975035905838013,10.340167045593262,
alibaba/druid,2,0.34412574768066406,9.337564945220947,31.01490306854248,31.26162624359131,4.366728782653809,18.546935081481934,0.8471629619598389,7.4155309200286865,5.988819599151611,
FasterXML/jackson-core,3,0.9429028034210205,6.994273662567139,53.791342973709106,56.84366154670715,20.453315258026123,65.01092839241028,1.532820701599121,22.3190438747406,29.29006791114807,
cometd/cometd,4,0.3701438903808594,11.351706504821777,15.39471960067749,14.068138599395752,7.193220853805542,24.772114515304565,0.35977745056152344,6.906917572021484,2.723884344100952,
owncloud/android,1,0.05927586555480957,1.480217695236206,2.424915313720703,2.0357203483581543,1.1846520900726318,3.3015942573547363,0.008397579193115234,0.993096113204956,0.39153051376342773,
iFixit/iFixitAndroid,1,0.07981443405151367,3.2811176776885986,3.3018953800201416,3.8799867630004883,2.402631998062134,6.382371187210083,0.07260370254516602,2.7533814907073975,2.6472530364990234,
android/platform_frameworks_support,1,0.025728225708007812,0.9588198661804199,3.090665340423584,1.9807665348052979,0.7179265022277832,2.2788007259368896,0.02684164047241211,2.0732004642486572,0.20828533172607422,
realm/realm-java,1,0.24905061721801758,,,18.246650457382202,4.819796562194824,11.666805028915405,0.4362335205078125,4.645361661911011,5.029799461364746,
MinecraftForge/MinecraftForge,1,0.05712270736694336,2.407198429107666,0.7801046371459961,1.2008521556854248,1.9497385025024414,2.35605788230896,0.013107061386108398,0.8048539161682129,0.9752981662750244,
excilys/androidannotations,1,0.05001235008239746,1.8956623077392578,1.863114595413208,3.021728515625,1.0487298965454102,2.7962756156921387,0.0032079219818115234,0.8245596885681152,0.13094282150268555,
