project,mc,imediff,jfstmerge,jdime,automergeptm,intellimerge,spork,mergiraf,mastery,d3j,repo
apache/cassandra,37,28,17,34,30,9,29,37,35,37,37
elasticsearch/elasticsearch,20,15,12,20,18,5,20,20,20,20,20
gradle/gradle,7,4,2,7,6,6,7,7,7,7,7
javaparser/javaparser,2,1,2,2,2,1,1,2,2,2,2
deeplearning4j/deeplearning4j,7,6,5,7,6,6,6,7,7,7,7
MozeIntel/ProjectE,3,2,3,3,3,3,3,3,3,3,3
antlr/antlr4,6,5,3,5,6,6,6,6,5,6,6
apache/storm,3,3,2,3,3,0,3,3,3,3,3
alibaba/druid,2,2,2,2,2,1,1,2,2,2,2
FasterXML/jackson-core,3,3,1,3,2,1,3,3,3,3,3
cometd/cometd,4,2,1,4,4,0,4,2,4,4,4
owncloud/android,1,1,1,1,1,1,1,1,1,1,1
iFixit/iFixitAndroid,1,1,1,1,1,1,1,1,1,1,1
android/platform_frameworks_support,1,1,1,1,1,1,1,1,1,1,1
realm/realm-java,1,0,0,0,0,0,1,1,1,1,1
MinecraftForge/MinecraftForge,1,1,1,1,1,1,1,1,1,1,1
excilys/androidannotations,1,1,1,1,1,1,1,1,1,1,1
