engine,mc,cfmc,pcfmc,wpmc,fc,aed,sim,dist,time
imediff,100,33,17,76,0,5793,0.9742937698452061,0.03048659148184477,12.546812534332275
jfstmerge,100,14,8,55,42,6163,0.9479487978902061,0.0607564253501982,185.71114349365234
jdime,100,33,7,95,5,9758,0.9514993166146304,0.20390997701993288,1014.4593691825867
automergeptm,100,48,7,87,2,11287,0.9505968213820497,0.2094688888798064,1019.0360069274902
intellimerge,100,30,7,43,0,11413,0.9541325607910968,0.07468575790680357,281.3781998157501
spork,100,54,5,89,7,8647,0.9725351124350509,0.049055619708101184,803.2968194484711
mergiraf,100,41,23,98,0,7461,0.9621058533365912,0.17909562462307807,21.389031410217285
mastery,100,42,20,97,0,9694,0.9708014224040937,0.056210906539831414,315.85473132133484
d3j,100,46,28,100,0,6414,0.9807996231228265,0.029561359346221346,284.251003742218
repo,100,100,100,100,0,0,1.0,0.0,0.0
