refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.67;1542-1553;org.antlr.v4.runtime.atn.ParserATNSimulator.getUniqueAlt(ATNConfigSet);1926-1937;org.antlr.v4.runtime.atn.ParserATNSimulator.getUniqueAlt(Collection)
Change Method Signature;method;0.79;1644-1651;org.antlr.v4.runtime.atn.ParserATNSimulator.reportAttemptingFullContext(DFA, BitSet, ATNConfigSet, int, int);2068-2075;org.antlr.v4.runtime.atn.ParserATNSimulator.reportAttemptingFullContext(DFA, BitSet, SimulatorState, int, int)
Change Method Signature;method;0.79;1288-1317;org.antlr.v4.runtime.atn.ParserATNSimulator.getEpsilonTarget(ATNConfig, Transition, boolean, boolean, boolean);1542-1563;org.antlr.v4.runtime.atn.ParserATNSimulator.getEpsilonTarget(ATNConfig, Transition, boolean, boolean, PredictionContextCache)
Change Method Signature;method;0.76;1325-1369;org.antlr.v4.runtime.atn.ParserATNSimulator.precedenceTransition(ATNConfig, PrecedencePredicateTransition, boolean, boolean, boolean);1571-1598;org.antlr.v4.runtime.atn.ParserATNSimulator.precedenceTransition(ATNConfig, PrecedencePredicateTransition, boolean, boolean)
Change Method Signature;method;0.87;1022-1029;org.antlr.v4.runtime.atn.ParserATNSimulator.getReachableTarget(Transition, int);1254-1261;org.antlr.v4.runtime.atn.ParserATNSimulator.getReachableTarget(ATNConfig, Transition, int)
Change Method Signature;method;0.79;1653-1660;org.antlr.v4.runtime.atn.ParserATNSimulator.reportContextSensitivity(DFA, int, ATNConfigSet, int, int);2077-2084;org.antlr.v4.runtime.atn.ParserATNSimulator.reportContextSensitivity(DFA, int, SimulatorState, int, int)
Change Method Signature;method;0.65;980-1020;org.antlr.v4.runtime.atn.ParserATNSimulator.applyPrecedenceFilter(ATNConfigSet);1212-1252;org.antlr.v4.runtime.atn.ParserATNSimulator.applyPrecedenceFilter(ATNConfigSet, ParserRuleContext, PredictionContextCache)
Change Method Signature;method;0.64;1419-1430;org.antlr.v4.runtime.atn.ParserATNSimulator.ruleTransition(ATNConfig, RuleTransition);1631-1652;org.antlr.v4.runtime.atn.ParserATNSimulator.ruleTransition(ATNConfig, RuleTransition, PredictionContextCache)
Change Method Signature;method;0.78;1371-1417;org.antlr.v4.runtime.atn.ParserATNSimulator.predTransition(ATNConfig, PredicateTransition, boolean, boolean, boolean);1600-1629;org.antlr.v4.runtime.atn.ParserATNSimulator.predTransition(ATNConfig, PredicateTransition, boolean, boolean)
Change Method Signature;method;0.63;612-630;org.antlr.v4.runtime.atn.ParserATNSimulator.predicateDFAState(DFAState, DecisionState);1264-1281;org.antlr.v4.runtime.atn.ParserATNSimulator.predicateDFAState(DFAState, ATNConfigSet, int)
Change Method Signature;method;0.67;1474-1484;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAltsOrUniqueAlt(ATNConfigSet);1856-1864;org.antlr.v4.runtime.atn.ParserATNSimulator.getConflictingAltsFromConfigSet(ATNConfigSet)
Change Field Signature;field;0.95;267-268;org.antlr.v4.runtime.atn.ParserATNSimulator.mode;252-253;org.antlr.v4.runtime.atn.ParserATNSimulator.predictionMode
Change Constructor Signature;constructor;0.67;286-290;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(ATN, DFA[], PredictionContextCache);287-289;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(ATN)
Change Constructor Signature;constructor;0.74;292-302;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(Parser, ATN, DFA[], PredictionContextCache);291-294;org.antlr.v4.runtime.atn.ParserATNSimulator.ParserATNSimulator(Parser, ATN)
