refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.78;183-186;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(ByteBuffer);206-209;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(CellName)
Change Method Signature;method;0.81;163-176;org.apache.cassandra.db.index.SecondaryIndexManager.indexFor(ByteBuffer, Set);186-199;org.apache.cassandra.db.index.SecondaryIndexManager.indexFor(CellName, Set)
Change Method Signature;method;0.67;658-672;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.shouldCleanupOldValue(Column, Column);660-674;org.apache.cassandra.db.index.SecondaryIndexManager.shouldCleanupOldValue(Cell, Cell)
Change Method Signature;method;0.69;178-181;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(Column);201-204;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(Cell)
Change Method Signature;method;0.74;607-615;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.insert(Column);747-755;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.insert(Cell)
Change Method Signature;method;0.87;481-486;org.apache.cassandra.db.index.SecondaryIndexManager.updaterFor(DecoratedKey, ColumnFamily);502-507;org.apache.cassandra.db.index.SecondaryIndexManager.updaterFor(DecoratedKey, ColumnFamily, OpOrder.Group)
Change Method Signature;method;0.75;584-584;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.insert(Column);679-679;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.insert(Cell)
Change Method Signature;method;0.74;642-650;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.remove(Column);784-792;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.remove(Cell)
Change Method Signature;method;0.82;590-590;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.remove(Column);685-685;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.remove(Cell)
Change Method Signature;method;0.73;149-161;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(ByteBuffer, Set);172-184;org.apache.cassandra.db.index.SecondaryIndexManager.indexes(CellName, Set)
Change Method Signature;method;0.66;587-587;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.update(Column, Column);682-682;org.apache.cassandra.db.index.SecondaryIndexManager.Updater.update(Cell, Cell)
Change Method Signature;method;0.86;450-472;org.apache.cassandra.db.index.SecondaryIndexManager.deleteFromIndexes(DecoratedKey, List);471-493;org.apache.cassandra.db.index.SecondaryIndexManager.deleteFromIndexes(DecoratedKey, List, OpOrder.Group)
Change Method Signature;method;0.74;491-494;org.apache.cassandra.db.index.SecondaryIndexManager.updaterFor(DecoratedKey);512-515;org.apache.cassandra.db.index.SecondaryIndexManager.gcUpdaterFor(DecoratedKey)
Change Method Signature;method;0.64;617-640;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.update(Column, Column);757-782;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.update(Cell, Cell)
Change Method Signature;method;0.69;188-191;org.apache.cassandra.db.index.SecondaryIndexManager.indexFor(ByteBuffer);211-214;org.apache.cassandra.db.index.SecondaryIndexManager.indexFor(CellName)
Change Method Signature;method;0.89;420-442;org.apache.cassandra.db.index.SecondaryIndexManager.indexRow(ByteBuffer, ColumnFamily);441-463;org.apache.cassandra.db.index.SecondaryIndexManager.indexRow(ByteBuffer, ColumnFamily, OpOrder.Group)
Change Constructor Signature;constructor;0.77;601-605;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.StandardUpdater(DecoratedKey, ColumnFamily);740-745;org.apache.cassandra.db.index.SecondaryIndexManager.StandardUpdater.StandardUpdater(DecoratedKey, ColumnFamily, OpOrder.Group)
