refactoring_type;node_type;confidence;before_location;before_node;after_location;after_node
Change Method Signature;method;0.64;1581-1624;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateResize(Metadata, ClusterBlocks, String, String, Settings);1638-1681;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateResize(ProjectMetadata, ClusterBlocks, String, String, Settings)
Change Method Signature;method;0.88;174-191;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateIndexName(String, Metadata, RoutingTable);176-193;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateIndexName(String, ProjectMetadata, RoutingTable)
Change Method Signature;method;0.79;1293-1315;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.clusterStateCreateIndex(ClusterState, IndexMetadata, BiConsumer, ShardRoutingRoleStrategy);1342-1372;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.clusterStateCreateIndex(ClusterState, ProjectId, IndexMetadata, BiConsumer, ShardRoutingRoleStrategy)
Change Method Signature;method;0.93;1429-1432;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validate(CreateIndexClusterStateUpdateRequest, Metadata, RoutingTable);1486-1489;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validate(CreateIndexClusterStateUpdateRequest, ProjectMetadata, RoutingTable)
Change Method Signature;method;0.87;1548-1570;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateCloneIndex(Metadata, ClusterBlocks, String, String, Settings);1605-1627;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateCloneIndex(ProjectMetadata, ClusterBlocks, String, String, Settings)
Change Method Signature;method;0.65;1626-1690;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.prepareResizeIndexSettings(Metadata, ClusterBlocks, RoutingTable, Settings.Builder, Index, String, ResizeType, boolean, IndexScopedSettings);1683-1747;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.prepareResizeIndexSettings(ProjectMetadata, ClusterBlocks, RoutingTable, Settings.Builder, Index, String, ResizeType, boolean, IndexScopedSettings)
Change Method Signature;method;0.72;968-1132;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.aggregateIndexSettings(ClusterState, CreateIndexClusterStateUpdateRequest, Settings, List, IndexMetadata, Settings, IndexScopedSettings, ShardLimitValidator, Set);1016-1181;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.aggregateIndexSettings(ProjectMetadata, DiscoveryNodes, ClusterBlocks, RoutingTable, CreateIndexClusterStateUpdateRequest, Settings, List, IndexMetadata, Settings, IndexScopedSettings, ShardLimitValidator, Set)
Change Method Signature;method;0.85;1534-1546;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateSplitIndex(Metadata, ClusterBlocks, String, String, Settings);1591-1603;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateSplitIndex(ProjectMetadata, ClusterBlocks, String, String, Settings)
Change Method Signature;method;1.0;1204-1287;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.resolveAndValidateAliases(String, Set, List, Metadata, NamedXContentRegistry, SearchExecutionContext, Function, Predicate);1253-1336;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.resolveAndValidateAliases(String, Set, List, ProjectMetadata, NamedXContentRegistry, SearchExecutionContext, Function, Predicate)
Change Method Signature;method;0.71;838-847;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.collectV2Mappings(String, ClusterState, String, NamedXContentRegistry, String);880-889;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.collectV2Mappings(String, ProjectMetadata, String, NamedXContentRegistry, String)
Change Method Signature;method;0.64;1494-1532;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateShrinkIndex(Metadata, ClusterBlocks, RoutingTable, String, String, Settings);1551-1589;org.elasticsearch.cluster.metadata.MetadataCreateIndexService.validateShrinkIndex(ProjectMetadata, ClusterBlocks, RoutingTable, String, String, Settings)
