engine,mc,cfmc,pcfmc,wpmc,fc,aed,sim,dist,time
git-merge,5,1,0,5,0,127,0.4552660561893068,10.622779080369936,0.004288911819458008
imediff,5,2,0,4,0,250,0.45487382904789936,10.62537287675961,0.14583086967468262
jfstmerge,5,2,1,5,0,108,0.4564368450082736,10.622222222222222,3.984004497528076
jdime,5,3,1,5,0,108,0.4564368450082736,10.622222222222222,9.406260967254639
automergeptm,5,3,1,5,0,108,0.4564368450082736,10.622222222222222,9.942089080810547
intellimerge,5,3,1,4,0,108,0.4564368450082736,10.622222222222222,1.6435277462005615
spork,5,4,0,4,1,104,0.333046056260342,12.777777777777779,2.8666670322418213
mergiraf,5,2,0,5,0,190,0.4552311399648976,10.62464825772518,0.12357616424560547
mastery,5,1,1,5,0,106,0.4571171171171171,10.422222222222222,2.1670708656311035
d3j,5,3,1,5,0,117,0.47244856224698467,10.60032154340836,1.7780940532684326
